Genome_Name	Gene_Length_Including_N	Sum_of_valid_dinucleotide_counts	A_Count	T_Count	G_Count	C_Count	AA_Count	AA_OE	AA_Rate	AT_Count	AT_OE	AT_Rate	AG_Count	AG_OE	AG_Rate	AC_Count	AC_OE	AC_Rate	TA_Count	TA_OE	TA_Rate	TT_Count	TT_OE	TT_Rate	TG_Count	TG_OE	TG_Rate	TC_Count	TC_OE	TC_Rate	GA_Count	GA_OE	GA_Rate	GT_Count	GT_OE	GT_Rate	GG_Count	GG_OE	GG_Rate	GC_Count	GC_OE	GC_Rate	CA_Count	CA_OE	CA_Rate	CT_Count	CT_OE	CT_Rate	CG_Count	CG_OE	CG_Rate	CC_Count	CC_OE	CC_Rate	A_Rate	T_Rate	G_Rate	C_Rate
GCA_000715275.1_Gsalaris_v1	67380660	67340729	22288520	22259326	11391487	11408874	8435868	1.143778	0.125271	6925646	0.940246	0.102845	3854775	1.022614	0.057243	3069984	0.813179	0.045589	5385887	0.731203	0.07998	8412009	1.143536	0.124917	3979511	1.057089	0.059095	4479335	1.188045	0.066517	4473538	1.186762	0.066431	3064399	0.814005	0.045506	2041344	1.05957	0.030314	1810798	0.938471	0.02689	3990562	1.057023	0.059259	3854986	1.02245	0.057246	1514702	0.785016	0.022493	2047385	1.059469	0.030403	0.3309445194287058	0.3305110409249648	0.16914313695092134	0.16940130269540807
GCA_000797535.1_T_suis_1.0.allpaths	63839715	62901133	17845101	17817148	13614044	13630773	6123555	1.209779	0.097352	4342869	0.85933	0.069043	3775261	0.977645	0.060019	3601690	0.931552	0.05726	3749192	0.741858	0.059605	6109222	1.210737	0.097124	4218267	1.09408	0.067062	3739006	0.968585	0.059443	3744337	0.969637	0.059527	3586154	0.930131	0.057013	2559051	0.86865	0.040684	3723216	1.262266	0.059192	4226524	1.093161	0.067193	3777178	0.978474	0.060049	3060033	1.03743	0.048648	2565578	0.86873	0.040787	0.28367403114937834	0.283229677251201	0.21641517981461733	0.21668111178480332
GCA_000757745.1_S_scapt_v1	79651268	78869308	20516447	20525559	18916945	18929905	6656641	1.247884	0.084401	4710278	0.882618	0.059723	4854369	0.986968	0.06155	4290430	0.871713	0.054399	3149272	0.590115	0.03993	6660259	1.247454	0.084447	4898583	0.995515	0.06211	5812482	1.180433	0.073698	5802043	1.179644	0.073565	4290426	0.871922	0.054399	4268190	0.941163	0.054117	4551366	1.002918	0.057708	4903485	0.996271	0.062172	4859624	0.986921	0.061616	4891040	1.077767	0.062014	4270820	0.940454	0.054151	0.2600677464507788	0.26018325072428483	0.23979236053315311	0.23995664229178326
GCA_000002995.5_B_malayi-4.0	87155713	86878144	31060079	31123837	12350181	12344251	13046309	1.174884	0.150168	10231448	0.919505	0.117768	4028470	0.912382	0.046369	3753783	0.850579	0.043207	8281972	0.744304	0.095329	13094243	1.174375	0.15072	5073936	1.146809	0.058403	4673607	1.056834	0.053795	4671191	1.057948	0.053767	3763916	0.850719	0.043324	1711546	0.974888	0.019701	2203500	1.255705	0.025363	5060533	1.146678	0.058249	4034155	0.912236	0.046435	1536207	0.875436	0.017682	1713328	0.97684	0.019721	0.35751231135288164	0.35824618810661546	0.14215487845141805	0.14208662208908485
GCA_000505645.1_S_monti_v1	89158954	84725468	24588053	24615282	17805842	17797404	8588029	1.205842	0.101363	6409403	0.898946	0.075649	4762323	0.923373	0.056209	4805411	0.932169	0.056717	4882638	0.684811	0.057629	8599641	1.204802	0.1015	5415467	1.048851	0.063918	5694680	1.103451	0.067213	5681187	1.101533	0.067054	4814419	0.932442	0.056824	3344521	0.895476	0.039475	3947397	1.057394	0.04659	5413568	1.050142	0.063895	4768006	0.92389	0.056276	4266522	1.142878	0.050357	3332256	0.893038	0.03933	0.2899309547687107	0.29025202654968485	0.2099582578385043	0.20985876084310012
GCA_000757645.3_ASM75764v3	84512609	84059221	22839352	22828950	19209228	19181723	8072885	1.300909	0.096038	5160177	0.831918	0.061387	5001344	0.95825	0.059498	4604937	0.883564	0.054782	3740936	0.60311	0.044504	8063018	1.300503	0.095921	5218647	1.00034	0.062083	5806339	1.114588	0.069074	5818253	1.114768	0.069216	4613274	0.884299	0.054881	4038205	0.919929	0.04804	4739487	1.081234	0.056383	5207271	0.999136	0.061948	4992470	0.958358	0.059392	4951024	1.129492	0.058899	4030954	0.920912	0.047954	0.27170538857869697	0.271581642534939	0.22852008927559705	0.22819287961076695
GCA_000183805.3_Loa_loa_V3.1	91365832	87503538	30311166	30098991	13536237	13572199	12149539	1.157523	0.138846	9941250	0.953809	0.11361	4191873	0.894299	0.047905	4023810	0.856169	0.045985	7764706	0.744981	0.088736	11983018	1.15781	0.136943	5322113	1.143429	0.060822	5022946	1.076295	0.057403	5034716	1.074112	0.057537	3991126	0.857473	0.045611	2126722	1.015991	0.024304	2381489	1.134685	0.027216	5356029	1.139633	0.061209	4178905	0.895438	0.047757	1893552	0.902203	0.02164	2141744	1.017752	0.024476	0.3463397314899704	0.34391538949900624	0.15466698601975926	0.15507789299126415
GCA_000239435.1_ASM23943v1	90815494	89598067	30350826	30352273	14436212	14460791	12099164	1.176881	0.135038	9429908	0.9172	0.105247	4545794	0.929618	0.050735	4275250	0.872805	0.047716	6541211	0.636231	0.073006	12099929	1.176844	0.135047	6043280	1.235796	0.067449	5667268	1.156935	0.063252	5660667	1.15761	0.063178	4265833	0.872324	0.047611	2312442	0.994221	0.025809	2196893	0.942935	0.024519	6049191	1.234961	0.067515	4555931	0.930063	0.050849	1534321	0.658551	0.017124	2320985	0.994504	0.025904	0.33873651170620317	0.3387526612413901	0.16111825408413039	0.1613925729682763
GCA_000757755.1_S_glas_v1	92836338	89369947	23425184	23421762	21276735	21332806	7198719	1.174685	0.08055	5498597	0.897391	0.061526	5633432	1.012086	0.063035	5073660	0.909123	0.056771	4270249	0.69692	0.047782	7197486	1.174827	0.080536	5646869	1.014648	0.063185	6286380	1.126588	0.070341	6272737	1.126941	0.070188	5055412	0.908373	0.056567	4818348	0.95306	0.053915	5107937	1.007685	0.057155	5661793	1.014507	0.063352	5648438	1.012262	0.063203	5156531	1.017271	0.057699	4843359	0.952978	0.054194	0.26186121080296837	0.2618229575681862	0.23784451763682604	0.23847131399201937
GCA_000499405.2_ASM49940v2	96340582	93265212	33025826	33017356	13609467	13613813	13810503	1.180955	0.148078	11125842	0.95163	0.119293	4273824	0.886856	0.045824	3815246	0.791444	0.040907	8279972	0.708214	0.088779	13798858	1.180565	0.147953	5477100	1.136838	0.058726	5460991	1.133133	0.058553	5453249	1.131597	0.05847	3820437	0.792978	0.040963	1897696	0.955599	0.020347	2437904	1.227233	0.026139	5481679	1.137133	0.058775	4271827	0.886386	0.045803	1960638	0.986979	0.021022	1899446	0.95587	0.020366	0.35410184209625106	0.35401102702920156	0.14592026660129984	0.14596686427324754
GCA_001014335.1_ASM101433v1	98759061	98466535	34459647	34446367	14802958	14762624	13504524	1.11993	0.137148	12014404	0.996739	0.122015	3966059	0.765655	0.040278	4973017	0.962673	0.050505	9307890	0.772201	0.094528	13497005	1.12017	0.137072	6305233	1.217706	0.064034	5334580	1.033062	0.054177	5354258	1.033649	0.054376	4982254	0.962204	0.050598	2397737	1.077551	0.024351	2067783	0.931807	0.021	6291374	1.21788	0.063894	3951072	0.765141	0.040126	2133050	0.961219	0.021663	2386295	1.078277	0.024235	0.34994504405107846	0.3498101828267311	0.15032718673514747	0.14991758638704303
GCA_000988905.1_ASM98890v1	100532934	99669416	35490447	35512676	14404988	14420262	14161238	1.12415	0.142082	11862332	0.941069	0.119017	4889770	0.956335	0.04906	4523019	0.883669	0.04538	9642612	0.764973	0.096746	14174691	1.12381	0.142217	5891919	1.151613	0.059115	5739245	1.120584	0.057583	5728752	1.120422	0.057478	4525427	0.884523	0.045404	1884350	0.907992	0.018906	2246078	1.081147	0.022535	5893335	1.15139	0.059129	4896150	0.95597	0.049124	1718787	0.827336	0.017245	1891711	0.909609	0.01898	0.35551462909247256	0.3557373012580301	0.14429753352786787	0.14445053612162947
GCA_001949185.1_Rvar_4.0	55842812	55422487	14541239	14552922	13178890	13150458	4387481	1.150044	0.079164	3367867	0.882075	0.060767	3428673	0.991626	0.061864	3356965	0.972986	0.06057	2559986	0.670483	0.04619	4397216	1.150746	0.07934	3774913	1.090887	0.068112	3820497	1.106447	0.068934	3827872	1.10708	0.069067	3364566	0.972304	0.060708	2845464	0.908024	0.051341	3140727	1.004413	0.056669	3765620	1.091431	0.067944	3423024	0.991336	0.061762	3129615	1.00086	0.056468	2832001	0.90764	0.051098	0.2623659032487459	0.2625766982743731	0.23778519689180994	0.23727220158507106
GCA_001723225.1_ASM172322v1	105964814	104940733	33198754	33217295	19309409	19279287	14372228	1.370106	0.136956	9591086	0.913809	0.091395	4474523	0.733381	0.042639	4742338	0.778491	0.045191	6914695	0.658811	0.065891	14388688	1.370145	0.137113	6234714	1.021309	0.059412	5660018	0.928616	0.053935	5671999	0.929649	0.05405	4748786	0.777899	0.045252	4462953	1.257645	0.042528	4412667	1.245417	0.042049	6220524	1.021146	0.059277	4469941	0.733365	0.042595	4124125	1.16398	0.0393	4451448	1.258326	0.042419	0.31616432190754806	0.3163408948805123	0.18389082321946498	0.1836039599924746
GCA_000002985.3_WBcel235	100272607	100272601	32367475	32367165	17757087	17780880	13571132	1.298915	0.135342	8874516	0.849402	0.088504	5075361	0.88546	0.050616	4846465	0.844394	0.048333	6360768	0.608805	0.063435	13572294	1.299051	0.135354	6205641	1.082661	0.061888	6228461	1.085188	0.062115	6231243	1.087117	0.062143	4840859	0.844556	0.048277	3344668	1.063633	0.033356	3340314	1.060827	0.033312	6204332	1.080974	0.061875	5079496	0.885004	0.050657	3131415	0.994484	0.031229	3365636	1.067439	0.033565	0.3227947888100685	0.3227916972379106	0.1770881154012481	0.1773253985507727
GCA_000004555.3_CB4	108384165	105409815	32984234	33054090	19693545	19684670	13266125	1.285487	0.125853	8845731	0.85534	0.083918	5888752	0.955717	0.055865	4981683	0.808869	0.04726	5876931	0.568271	0.055753	13319875	1.285246	0.126363	6407884	1.037772	0.06079	7447591	1.206699	0.070654	7439511	1.207398	0.070577	4995493	0.809032	0.047391	3939987	1.070985	0.037378	3316926	0.902028	0.031467	6399785	1.039124	0.060713	5891079	0.954504	0.055887	3455622	0.939746	0.032783	3936840	1.071095	0.037348	0.3128942983036087	0.31355696471879047	0.18681646340144026	0.18673227357616057
GCA_000524195.1_ASM52419v1	110837706	110098658	32011832	32102936	22991431	23000765	10762290	1.156462	0.097751	8354782	0.895215	0.075885	6680728	0.999528	0.060679	6211968	0.929018	0.056422	7041800	0.754529	0.063959	10822157	1.156304	0.098295	7611429	1.135541	0.069133	6625220	0.988009	0.060175	6606879	0.988479	0.060009	6224202	0.928582	0.056533	4973488	1.03604	0.045173	5184949	1.079652	0.047094	7598539	1.136383	0.069016	6699633	0.999106	0.060851	3723885	0.775417	0.033823	4976709	1.03587	0.045202	0.2907339448574751	0.29156135846230397	0.20880996228358453	0.20889473439663633
GCA_000612645.2_T_muris_v2	111837642	110109770	30530536	30426126	24582431	24571571	10119337	1.195408	0.091902	7685924	0.911062	0.069802	6278780	0.921189	0.057023	6446239	0.946176	0.058544	6301000	0.746898	0.057225	10052343	1.195658	0.091294	7406765	1.09041	0.067267	6665767	0.981756	0.060537	6687433	0.981145	0.060734	6427041	0.946177	0.058369	4986176	0.908554	0.045284	6481588	1.181562	0.058865	7422522	1.089474	0.06741	6260559	0.922075	0.056857	5910516	1.077459	0.053678	4977780	0.907826	0.045207	0.2772713821796588	0.27632315431319165	0.22325204577823635	0.22315341772891317
GCA_000469725.3_EMULTI002	114963228	112131748	32378291	32425988	23650105	23681119	10818136	1.157184	0.096477	8391654	0.89631	0.074837	6819450	0.998665	0.060816	6348051	0.928415	0.056612	6987872	0.746372	0.062318	10852440	1.15744	0.096783	7857533	1.148994	0.070074	6727182	0.982416	0.059994	6719397	0.984013	0.059924	6339464	0.927009	0.056536	5143118	1.031141	0.045867	5447136	1.090663	0.048578	7851942	1.148361	0.070024	6841480	0.999108	0.061013	3829112	0.766691	0.034148	5157781	1.031374	0.045998	0.28874254927094767	0.28916790073167103	0.21090648694909764	0.21118306304828366
GCA_000001215.4_Release_6_plus_ISO1_MT	143726002	142570582	41351058	41332481	29928813	29960672	14504339	1.209399	0.101734	11584902	0.966405	0.081257	7753837	0.893275	0.054386	7507292	0.863953	0.052657	9215063	0.768714	0.064635	14490698	1.209348	0.101639	9679413	1.115611	0.067892	7946547	0.914914	0.055738	7937347	0.914416	0.055673	7497396	0.86412	0.052587	6601507	1.050773	0.046303	7891980	1.254844	0.055355	9693575	1.115554	0.067991	7758746	0.893292	0.05442	5893673	0.937108	0.041339	6614267	1.050566	0.046393	0.2900342353683962	0.28990393722728364	0.20991918499252707	0.21014264241179312
GCA_002082055.1_nHd_3.1	104154999	102006490	27830233	27811350	23168936	23199981	8852269	1.165958	0.086781	6942399	0.915024	0.068058	5863474	0.927671	0.057481	6171180	0.975047	0.060498	5166354	0.680937	0.050647	8852818	1.167614	0.086787	7086483	1.121927	0.069471	6704770	1.060074	0.065729	6705358	1.060867	0.065735	6153108	0.974156	0.060321	5063744	0.962324	0.049641	5245674	0.995565	0.051425	7105315	1.122641	0.069656	5862137	0.926847	0.057468	5154138	0.978192	0.050528	5077269	0.962314	0.049774	0.2728173374309507	0.27263222903524637	0.22712305105846947	0.22742738247533342
GCA_000180635.4_El_Paco_v._4	158478356	154957691	44323547	44268845	33266449	33098986	14002116	1.104431	0.090361	12969037	1.02421	0.083694	9398280	0.987692	0.060651	7954072	0.840145	0.051331	8878305	0.701151	0.057295	14004997	1.10739	0.090379	9735218	1.024366	0.062825	11650289	1.232077	0.075184	11731844	1.232932	0.07571	7966683	0.838276	0.051412	7046952	0.986739	0.045477	6520941	0.917705	0.042082	9711236	1.025745	0.06267	9328092	0.986493	0.060198	7085969	0.997222	0.045728	6973660	0.986382	0.045004	0.2860361935767207	0.2856831813987686	0.21468066275864853	0.21359996226586217
GCA_001693075.2_ASM169307v2	169104283	166294403	47234400	47249975	35909271	35921109	15349674	1.14437	0.092304	12115581	0.902959	0.072856	10279112	1.008033	0.061813	9484741	0.929825	0.057036	9734748	0.725519	0.058539	15359562	1.144352	0.092364	12083207	1.184562	0.072662	10066915	0.986573	0.060537	10059626	0.986508	0.060493	9481438	0.929501	0.057016	7664588	0.988689	0.04609	8698923	1.121742	0.05231	12084922	1.184731	0.072672	10288111	1.00825	0.061867	5877567	0.757923	0.035344	7665688	0.988179	0.046097	0.28400607029725056	0.28409971803163225	0.21591151669014574	0.21598269498097147
GCA_001693035.2_Taenia_asiatica_TASYD01_v1	168679183	164392028	46721961	46740542	35475527	35468031	15195413	1.144525	0.092434	11984346	0.902307	0.072901	10165160	1.008368	0.061835	9373187	0.930002	0.057017	9639221	0.725742	0.058636	15204913	1.14433	0.092492	11929980	1.182965	0.07257	9962606	0.988091	0.060603	9954664	0.987487	0.060554	9385243	0.930632	0.057091	7564663	0.988295	0.046016	8567758	1.119583	0.052118	11928796	1.183568	0.072563	10162315	1.007898	0.061818	5812511	0.759544	0.035358	7561252	0.988267	0.045995	0.28418636585423696	0.28429938480187783	0.21577992188499667	0.21573432745888851
GCA_000469805.3_HMN_v3	168943216	162456471	51678793	51670787	29578502	29528481	18625703	1.132988	0.11465	15418644	0.938051	0.094909	9283322	0.986626	0.057143	8351096	0.889053	0.051405	12844832	0.781463	0.079066	18621841	1.133105	0.114627	10381993	1.103563	0.063906	9822094	1.045816	0.06046	9839608	1.045747	0.060568	8367089	0.889387	0.051504	5672250	1.053272	0.034916	5699536	1.060131	0.035083	10368624	1.103838	0.063824	9263189	0.986306	0.05702	4240918	0.788824	0.026105	5655732	1.053766	0.034814	0.31810837337485715	0.31805909250954667	0.18207021897908796	0.1817623151365082
GCA_003693605.1_ASM369360v1	74846012	74608059	26372597	26397049	10906451	10945324	12005396	1.288285	0.160913	7976148	0.855118	0.106907	3426678	0.889157	0.045929	2960100	0.765361	0.039675	6832462	0.732504	0.091578	12017384	1.287184	0.161074	3653269	0.947074	0.048966	3889445	1.00472	0.052132	3869127	1.003963	0.051859	2956222	0.766372	0.039623	2358469	1.479805	0.031611	1720127	1.075449	0.023056	3661233	0.946645	0.049073	3442974	0.889388	0.046147	1465950	0.916534	0.019649	2373075	1.478412	0.031807	0.3534185847251555	0.35374626543228116	0.14615710681789348	0.14667804302466983
GCA_002872375.1_clam_shrimp_assembly_v0.1	120535642	120535335	36578981	36585589	23670825	23700050	12692787	1.143428	0.105303	9790899	0.881853	0.081228	7246206	1.008744	0.060117	6849065	0.952282	0.056822	9653926	0.869516	0.080092	12688155	1.142598	0.105265	7081289	0.985608	0.058749	7162186	0.995638	0.05942	7160664	0.996835	0.059407	6835494	0.951397	0.056709	5016966	1.079269	0.041622	4657674	1.000741	0.038642	7071575	0.983219	0.058668	7271008	1.010766	0.060323	4326340	0.929551	0.035893	5031101	1.079642	0.04174	0.3034707425687108	0.3035255646171133	0.19638061650662175	0.19662307630755418
GCA_001465965.1_Pdom_r1.2	208026220	200519870	69430756	69425137	30841275	30866150	26998393	1.123517	0.134642	22966173	0.955797	0.114533	9643813	0.903463	0.048094	9807009	0.918011	0.048908	20866892	0.86843	0.104064	26996388	1.123616	0.134632	9881409	0.925796	0.049279	11664290	1.091955	0.05817	11658930	1.092245	0.058144	9794736	0.917676	0.048847	4939541	1.04176	0.024634	4442613	0.936201	0.022155	9890240	0.925802	0.049323	9652431	0.903614	0.048137	6370233	1.342413	0.031769	4946779	1.041605	0.02467	0.3461787364327509	0.34615072034259026	0.1537732587770611	0.15389728444759773
GCA_001313835.1_ASM131383v1	211202212	197036853	66827623	66887410	31736948	31623054	25883270	1.142412	0.131363	21376686	0.942661	0.108491	9825557	0.91317	0.049867	9729253	0.907477	0.049378	19407860	0.855841	0.098499	25940633	1.142898	0.131654	9556651	0.887385	0.048502	11967642	1.11526	0.060738	11993708	1.114674	0.06087	9773618	0.907531	0.049603	5169937	1.011744	0.026238	4794710	0.941693	0.024334	9527971	0.888702	0.048356	9783795	0.911748	0.049655	7179048	1.409982	0.036435	5126514	1.010486	0.026018	0.3390973544670435	0.3394007262259271	0.16103992065763176	0.16046199864939767
GCA_002922825.1_Bc_v0.6	129626318	121374639	44992690	45006948	15693730	15691017	21124314	1.266766	0.174042	13583655	0.814316	0.111915	5357007	0.920983	0.044136	4924097	0.846703	0.040569	11935326	0.715501	0.098335	21135986	1.266663	0.174138	5841121	1.003895	0.048125	6090902	1.047005	0.050183	6094170	1.047717	0.05021	4921808	0.845895	0.040551	2329242	1.148048	0.019191	2347291	1.157144	0.019339	5835269	1.00338	0.048077	5361802	0.921675	0.044176	2165108	1.067333	0.017838	2327541	1.147606	0.019177	0.37066291516820715	0.3707803767346187	0.1292895292915971	0.129267178805577
GCA_003052745.1_Sp34_v7	122994328	122580790	37747551	37674351	23551707	23607210	14779920	1.271502	0.120573	10341922	0.891434	0.084368	6676278	0.920547	0.054464	5949424	0.818397	0.048535	7176931	0.618624	0.058549	14732871	1.272385	0.120189	7451617	1.029449	0.060789	8312921	1.145739	0.067816	8308751	1.145637	0.067782	5920314	0.817898	0.048297	4447502	0.982865	0.036282	4875132	1.074835	0.039771	7481940	1.029209	0.061037	6679238	0.920575	0.054488	4976306	1.097142	0.040596	4469723	0.983137	0.036463	0.3079401109238795	0.3073429538760057	0.19213207410532965	0.19258486109478515
GCA_000441895.2_AS2	220777669	214481210	60249977	60194445	47031331	47034223	21510029	1.271256	0.100289	15469523	0.915102	0.072125	10847042	0.821245	0.050573	12417351	0.940078	0.057895	11749884	0.695066	0.054783	21471698	1.271333	0.10011	13823782	1.047584	0.064452	13139949	0.995701	0.061264	13145392	0.995257	0.061289	12406787	0.940202	0.057846	10559366	1.024163	0.049232	10913015	1.058399	0.050881	13835422	1.047435	0.064506	10840397	0.821449	0.050542	11794524	1.143892	0.054991	10557049	1.023812	0.049221	0.28087261079177034	0.2806137323888377	0.21925008746446364	0.21926356935492827
GCA_003724045.1_ASM372404v1	73105941	72760089	21180452	21164277	15217865	15204930	7682109	1.246212	0.105581	5113494	0.830159	0.070279	4297112	0.970219	0.059059	4085654	0.92326	0.056152	4748813	0.770954	0.065267	7679466	1.247688	0.105545	4469635	1.009943	0.06143	4264203	0.964344	0.058606	4276488	0.965562	0.058775	4081257	0.922186	0.056092	3428687	1.077463	0.047123	3429772	1.078721	0.047138	4470925	1.010322	0.061447	4287949	0.969714	0.058933	3020830	0.950102	0.041518	3423695	1.077726	0.047055	0.29107012078630023	0.2908478375600632	0.2091298997613276	0.20895214189230898
