Region	Reference	Start	End	Strand	Score
399092at33208_r2.m1.g2.t1_4_exon	OZ210592.1	12152935	12152948	-	0.01
399092at33208_r2.m1.g2.t1_4_intron	OZ210592.1	12152605	12152935	-	0.01
399092at33208_r2.m1.g2.t1_5_exon	OZ210592.1	12152449	12152605	-	0.09
399092at33208_r2.m1.g2.t1_5_intron	OZ210592.1	12152403	12152449	-	0.09
399092at33208_r2.m1.g2.t1_6_exon	OZ210592.1	12152067	12152403	-	0.11
399092at33208_r2.m1.g2.t1_6_intron	OZ210592.1	12151553	12152067	-	0.11
399092at33208_r2.m1.g2.t1_7_exon	OZ210592.1	12151327	12151553	-	0.01
399092at33208_r2.m1.g2.t1_7_intron	OZ210592.1	12150278	12151327	-	0.01
399092at33208_r2.m1.g2.t1_8_exon	OZ210592.1	12150262	12150278	-	0.01
399092at33208_r2.m1.g2.t1_8_intron	OZ210592.1	12150196	12150262	-	0.01
399092at33208_r2.m1.g2.t1_9_exon	OZ210592.1	12150162	12150196	-	0.01
399092at33208_r2.m1.g2.t1_9_intron	OZ210592.1	12148520	12150162	-	0.01
399092at33208_r2.m1.g2.t1_10_exon	OZ210592.1	12148481	12148520	-	0.01
399092at33208_r2.m1.g2.t1_downstream1	OZ210592.1	12148481	12148581	-	0.01
399092at33208_r2.m1.g2.t1_downstream2	OZ210592.1	12148281	12148481	-	0.01
418979at33208_r2.m1.g2.t1_upstream1	OZ210596.1	19180672	19180872	+	0.01
418979at33208_r2.m1.g2.t1_upstream2	OZ210596.1	19180872	19181072	+	0.01
418979at33208_r2.m1.g2.t1_1_exon	OZ210596.1	19180972	19181063	+	0.01
418979at33208_r2.m1.g2.t1_1_intron	OZ210596.1	19181063	19181450	+	0.01
418979at33208_r2.m1.g2.t1_2_exon	OZ210596.1	19181450	19181466	+	0.01
418979at33208_r2.m1.g2.t1_2_intron	OZ210596.1	19181466	19181650	+	0.01
418979at33208_r2.m1.g2.t1_3_exon	OZ210596.1	19181650	19181779	+	0.01
418979at33208_r2.m1.g2.t1_3_intron	OZ210596.1	19181779	19182094	+	0.01
418979at33208_r2.m1.g2.t1_4_exon	OZ210596.1	19182094	19182175	+	0.01
418979at33208_r2.m1.g2.t1_4_intron	OZ210596.1	19182175	19182218	+	0.01
418979at33208_r2.m1.g2.t1_5_exon	OZ210596.1	19182218	19182376	+	0.01
418979at33208_r2.m1.g2.t1_5_intron	OZ210596.1	19182376	19182701	+	0.01
418979at33208_r2.m1.g2.t1_6_exon	OZ210596.1	19182701	19182832	+	0.01
418979at33208_r2.m1.g2.t1_6_intron	OZ210596.1	19182832	19186665	+	0.01
418979at33208_r2.m1.g2.t1_7_exon	OZ210596.1	19186665	19186684	+	0.01
418979at33208_r2.m1.g2.t1_7_intron	OZ210596.1	19186684	19187028	+	0.01
418979at33208_r2.m1.g2.t1_8_exon	OZ210596.1	19187028	19187117	+	0.01
418979at33208_r2.m1.g2.t1_downstream1	OZ210596.1	19187017	19187117	+	0.01
418979at33208_r2.m1.g2.t1_downstream2	OZ210596.1	19187117	19187317	+	0.01
432050at33208_r2.m1.g1.t1_upstream1	OZ210597.1	25279630	25279830	-	0.01
432050at33208_r2.m1.g1.t1_upstream2	OZ210597.1	25279430	25279630	-	0.01
432050at33208_r2.m1.g1.t1_1_exon	OZ210597.1	25279476	25279530	-	0.03
432050at33208_r2.m1.g1.t1_1_intron	OZ210597.1	25279213	25279476	-	0.03
432050at33208_r2.m1.g1.t1_2_exon	OZ210597.1	25278946	25279213	-	0.22
432050at33208_r2.m1.g1.t1_2_intron	OZ210597.1	25278623	25278946	-	0.22
432050at33208_r2.m1.g1.t1_3_exon	OZ210597.1	25278371	25278623	-	0.99
432050at33208_r2.m1.g1.t1_3_intron	OZ210597.1	25278015	25278371	-	0.99
432050at33208_r2.m1.g1.t1_4_exon	OZ210597.1	25277796	25278015	-	0.05
432050at33208_r2.m1.g1.t1_4_intron	OZ210597.1	25276344	25277796	-	0.05
432050at33208_r2.m1.g1.t1_5_exon	OZ210597.1	25276188	25276344	-	0.01
432050at33208_r2.m1.g1.t1_downstream1	OZ210597.1	25276188	25276288	-	0.01
432050at33208_r2.m1.g1.t1_downstream2	OZ210597.1	25275988	25276188	-	0.01
556337at33208_r2.m1.g1.t1_upstream1	OZ210596.1	27978369	27978569	+	0.01
556337at33208_r2.m1.g1.t1_upstream2	OZ210596.1	27978569	27978769	+	0.01
556337at33208_r2.m1.g1.t1_1_exon	OZ210596.1	27978669	27978691	+	0.14
556337at33208_r2.m1.g1.t1_1_intron	OZ210596.1	27978691	27978940	+	0.14
556337at33208_r2.m1.g1.t1_2_exon	OZ210596.1	27978940	27979152	+	0.5
556337at33208_r2.m1.g1.t1_2_intron	OZ210596.1	27979152	27979535	+	0.5
556337at33208_r2.m1.g1.t1_3_exon	OZ210596.1	27979535	27979757	+	0.01
556337at33208_r2.m1.g1.t1_downstream1	OZ210596.1	27979657	27979757	+	0.01
556337at33208_r2.m1.g1.t1_downstream2	OZ210596.1	27979757	27979957	+	0.01
557596at33208_r2.m1.g1.t1_upstream1	OZ210597.1	24409074	24409274	-	0.01
557596at33208_r2.m1.g1.t1_upstream2	OZ210597.1	24408874	24409074	-	0.01
557596at33208_r2.m1.g1.t1_1_exon	OZ210597.1	24408813	24408974	-	0.97
557596at33208_r2.m1.g1.t1_1_intron	OZ210597.1	24408236	24408813	-	0.97
557596at33208_r2.m1.g1.t1_2_exon	OZ210597.1	24407914	24408236	-	0.91
557596at33208_r2.m1.g1.t1_2_intron	OZ210597.1	24407561	24407914	-	0.91
557596at33208_r2.m1.g1.t1_3_exon	OZ210597.1	24407390	24407561	-	0.01
557596at33208_r2.m1.g1.t1_downstream1	OZ210597.1	24407390	24407490	-	0.01
557596at33208_r2.m1.g1.t1_downstream2	OZ210597.1	24407190	24407390	-	0.01
568949at33208_r2.m1.g1.t1_upstream1	OZ210593.1	13937006	13937206	+	0.01
568949at33208_r2.m1.g1.t1_upstream2	OZ210593.1	13937206	13937406	+	0.01
568949at33208_r2.m1.g1.t1_1_exon	OZ210593.1	13937306	13937423	+	0.01
568949at33208_r2.m1.g1.t1_1_intron	OZ210593.1	13937423	13937465	+	0.01
568949at33208_r2.m1.g1.t1_2_exon	OZ210593.1	13937465	13937684	+	0.01
568949at33208_r2.m1.g1.t1_2_intron	OZ210593.1	13937684	13937727	+	0.01
568949at33208_r2.m1.g1.t1_3_exon	OZ210593.1	13937727	13937829	+	0.01
568949at33208_r2.m1.g1.t1_3_intron	OZ210593.1	13937829	13938925	+	0.01
568949at33208_r2.m1.g1.t1_4_exon	OZ210593.1	13938925	13939093	+	0.01
568949at33208_r2.m1.g1.t1_downstream1	OZ210593.1	13938993	13939093	+	0.01
568949at33208_r2.m1.g1.t1_downstream2	OZ210593.1	13939093	13939293	+	0.01
599320at33208_r2.m1.g1.t1_upstream1	OZ210595.1	3861177	3861377	+	0.01
599320at33208_r2.m1.g1.t1_upstream2	OZ210595.1	3861377	3861577	+	0.01
599320at33208_r2.m1.g1.t1_1_exon	OZ210595.1	3861477	3861614	+	0.01
599320at33208_r2.m1.g1.t1_1_intron	OZ210595.1	3861614	3864258	+	0.01
599320at33208_r2.m1.g1.t1_2_exon	OZ210595.1	3864258	3864487	+	0.01
599320at33208_r2.m1.g1.t1_downstream1	OZ210595.1	3864387	3864487	+	0.01
599320at33208_r2.m1.g1.t1_downstream2	OZ210595.1	3864487	3864687	+	0.01
606748at33208_r2.m1.g1.t1_upstream1	OZ210597.1	29342597	29342797	-	0.01
606748at33208_r2.m1.g1.t1_upstream2	OZ210597.1	29342397	29342597	-	0.01
606748at33208_r2.m1.g1.t1_1_exon	OZ210597.1	29342320	29342497	-	0.01
606748at33208_r2.m1.g1.t1_1_intron	OZ210597.1	29342141	29342320	-	0.01
606748at33208_r2.m1.g1.t1_2_exon	OZ210597.1	29342071	29342141	-	0.01
606748at33208_r2.m1.g1.t1_2_intron	OZ210597.1	29339376	29342071	-	0.01
606748at33208_r2.m1.g1.t1_3_exon	OZ210597.1	29339361	29339376	-	0.01
606748at33208_r2.m1.g1.t1_3_intron	OZ210597.1	29339141	29339361	-	0.01
606748at33208_r2.m1.g1.t1_4_exon	OZ210597.1	29339028	29339141	-	0.01
606748at33208_r2.m1.g1.t1_downstream1	OZ210597.1	29339028	29339128	-	0.01
606748at33208_r2.m1.g1.t1_downstream2	OZ210597.1	29338828	29339028	-	0.01
607862at33208_r2.m1.g1.t1_upstream1	OZ210595.1	28311066	28311266	+	0.01
607862at33208_r2.m1.g1.t1_upstream2	OZ210595.1	28311266	28311466	+	0.01
607862at33208_r2.m1.g1.t1_1_exon	OZ210595.1	28311366	28311462	+	0.05
607862at33208_r2.m1.g1.t1_1_intron	OZ210595.1	28311462	28311806	+	0.05
607862at33208_r2.m1.g1.t1_2_exon	OZ210595.1	28311806	28311932	+	0.01
607862at33208_r2.m1.g1.t1_2_intron	OZ210595.1	28311932	28313074	+	0.01
607862at33208_r2.m1.g1.t1_3_exon	OZ210595.1	28313074	28313224	+	0.01
607862at33208_r2.m1.g1.t1_downstream1	OZ210595.1	28313124	28313224	+	0.01
607862at33208_r2.m1.g1.t1_downstream2	OZ210595.1	28313224	28313424	+	0.01
616613at33208_r2.m1.g1.t1_upstream1	OZ210595.1	416304	416504	-	0.01
616613at33208_r2.m1.g1.t1_upstream2	OZ210595.1	416104	416304	-	0.01
616613at33208_r2.m1.g1.t1_1_exon	OZ210595.1	416020	416204	-	0.06
616613at33208_r2.m1.g1.t1_1_intron	OZ210595.1	415260	416020	-	0.06
616613at33208_r2.m1.g1.t1_2_exon	OZ210595.1	415137	415260	-	0.09
616613at33208_r2.m1.g1.t1_2_intron	OZ210595.1	414341	415137	-	0.09
616613at33208_r2.m1.g1.t1_3_exon	OZ210595.1	414327	414341	-	0.01
616613at33208_r2.m1.g1.t1_downstream1	OZ210595.1	414327	414427	-	0.01
616613at33208_r2.m1.g1.t1_downstream2	OZ210595.1	414127	414327	-	0.01
131349at33208_r2.m1.g2.t1_upstream1	OZ210595.1	25479149	25479349	-	0.01
131349at33208_r2.m1.g2.t1_upstream2	OZ210595.1	25478949	25479149	-	0.01
131349at33208_r2.m1.g2.t1_1_exon	OZ210595.1	25478905	25479049	-	0.66
131349at33208_r2.m1.g2.t1_1_intron	OZ210595.1	25478267	25478905	-	0.66
131349at33208_r2.m1.g2.t1_2_exon	OZ210595.1	25478064	25478267	-	0.65
131349at33208_r2.m1.g2.t1_2_intron	OZ210595.1	25477526	25478064	-	0.65
131349at33208_r2.m1.g2.t1_3_exon	OZ210595.1	25477038	25477526	-	1.0
131349at33208_r2.m1.g2.t1_3_intron	OZ210595.1	25476997	25477038	-	1.0
131349at33208_r2.m1.g2.t1_4_exon	OZ210595.1	25476618	25476997	-	0.51
131349at33208_r2.m1.g2.t1_4_intron	OZ210595.1	25476544	25476618	-	0.51
131349at33208_r2.m1.g2.t1_5_exon	OZ210595.1	25476395	25476544	-	0.72
131349at33208_r2.m1.g2.t1_5_intron	OZ210595.1	25476336	25476395	-	0.72
131349at33208_r2.m1.g2.t1_6_exon	OZ210595.1	25476200	25476336	-	1.0
131349at33208_r2.m1.g2.t1_6_intron	OZ210595.1	25476159	25476200	-	1.0
131349at33208_r2.m1.g2.t1_7_exon	OZ210595.1	25475958	25476159	-	0.46
131349at33208_r2.m1.g2.t1_7_intron	OZ210595.1	25475835	25475958	-	0.46
131349at33208_r2.m1.g2.t1_8_exon	OZ210595.1	25475756	25475835	-	0.6
131349at33208_r2.m1.g2.t1_8_intron	OZ210595.1	25475173	25475756	-	0.6
131349at33208_r2.m1.g2.t1_9_exon	OZ210595.1	25474915	25475173	-	0.99
131349at33208_r2.m1.g2.t1_9_intron	OZ210595.1	25474870	25474915	-	0.99
131349at33208_r2.m1.g2.t1_10_exon	OZ210595.1	25474723	25474870	-	0.88
131349at33208_r2.m1.g2.t1_10_intron	OZ210595.1	25474362	25474723	-	0.88
131349at33208_r2.m1.g2.t1_11_exon	OZ210595.1	25474116	25474362	-	0.98
131349at33208_r2.m1.g2.t1_11_intron	OZ210595.1	25473920	25474116	-	0.98
131349at33208_r2.m1.g2.t1_12_exon	OZ210595.1	25473650	25473920	-	0.62
131349at33208_r2.m1.g2.t1_12_intron	OZ210595.1	25472970	25473650	-	0.62
131349at33208_r2.m1.g2.t1_13_exon	OZ210595.1	25472610	25472970	-	0.68
131349at33208_r2.m1.g2.t1_13_intron	OZ210595.1	25472371	25472610	-	0.68
131349at33208_r2.m1.g2.t1_14_exon	OZ210595.1	25472083	25472371	-	0.82
131349at33208_r2.m1.g2.t1_downstream1	OZ210595.1	25472083	25472183	-	0.82
131349at33208_r2.m1.g2.t1_downstream2	OZ210595.1	25471883	25472083	-	0.82
176247at33208_r2.m1.g1.t1_upstream1	OZ210595.1	28067230	28067430	+	0.02
176247at33208_r2.m1.g1.t1_upstream2	OZ210595.1	28067430	28067630	+	0.02
176247at33208_r2.m1.g1.t1_1_exon	OZ210595.1	28067530	28067563	+	0.65
176247at33208_r2.m1.g1.t1_1_intron	OZ210595.1	28067563	28068832	+	0.65
176247at33208_r2.m1.g1.t1_2_exon	OZ210595.1	28068832	28068934	+	0.17
176247at33208_r2.m1.g1.t1_2_intron	OZ210595.1	28068934	28072347	+	0.17
176247at33208_r2.m1.g1.t1_3_exon	OZ210595.1	28072347	28072634	+	0.26
176247at33208_r2.m1.g1.t1_3_intron	OZ210595.1	28072634	28072748	+	0.26
176247at33208_r2.m1.g1.t1_4_exon	OZ210595.1	28072748	28072980	+	0.95
176247at33208_r2.m1.g1.t1_4_intron	OZ210595.1	28072980	28074473	+	0.95
176247at33208_r2.m1.g1.t1_5_exon	OZ210595.1	28074473	28074687	+	0.97
176247at33208_r2.m1.g1.t1_5_intron	OZ210595.1	28074687	28075103	+	0.97
176247at33208_r2.m1.g1.t1_6_exon	OZ210595.1	28075103	28075337	+	0.94
176247at33208_r2.m1.g1.t1_6_intron	OZ210595.1	28075337	28075404	+	0.94
176247at33208_r2.m1.g1.t1_7_exon	OZ210595.1	28075404	28075567	+	0.85
176247at33208_r2.m1.g1.t1_7_intron	OZ210595.1	28075567	28075896	+	0.85
176247at33208_r2.m1.g1.t1_8_exon	OZ210595.1	28075896	28076230	+	0.82
176247at33208_r2.m1.g1.t1_downstream1	OZ210595.1	28076130	28076230	+	0.82
176247at33208_r2.m1.g1.t1_downstream2	OZ210595.1	28076230	28076430	+	0.82
435939at33208_r2.m1.g2.t1_upstream1	OZ210596.1	9275862	9276062	+	0.01
435939at33208_r2.m1.g2.t1_upstream2	OZ210596.1	9276062	9276262	+	0.01
435939at33208_r2.m1.g2.t1_1_exon	OZ210596.1	9276162	9276222	+	0.01
435939at33208_r2.m1.g2.t1_1_intron	OZ210596.1	9276222	9276279	+	0.01
435939at33208_r2.m1.g2.t1_2_exon	OZ210596.1	9276279	9276474	+	0.06
435939at33208_r2.m1.g2.t1_2_intron	OZ210596.1	9276474	9276978	+	0.06
435939at33208_r2.m1.g2.t1_3_exon	OZ210596.1	9276978	9277077	+	0.56
435939at33208_r2.m1.g2.t1_3_intron	OZ210596.1	9277077	9277121	+	0.56
435939at33208_r2.m1.g2.t1_4_exon	OZ210596.1	9277121	9277213	+	1.0
435939at33208_r2.m1.g2.t1_4_intron	OZ210596.1	9277213	9277432	+	1.0
435939at33208_r2.m1.g2.t1_5_exon	OZ210596.1	9277432	9277542	+	0.94
435939at33208_r2.m1.g2.t1_5_intron	OZ210596.1	9277542	9278019	+	0.94
435939at33208_r2.m1.g2.t1_6_exon	OZ210596.1	9278019	9278185	+	0.72
435939at33208_r2.m1.g2.t1_6_intron	OZ210596.1	9278185	9280717	+	0.72
435939at33208_r2.m1.g2.t1_7_exon	OZ210596.1	9280717	9280832	+	0.05
435939at33208_r2.m1.g2.t1_downstream1	OZ210596.1	9280732	9280832	+	0.05
435939at33208_r2.m1.g2.t1_downstream2	OZ210596.1	9280832	9281032	+	0.05
535367at33208_r2.m1.g1.t1_upstream1	OZ210594.1	10700277	10700477	-	0.01
535367at33208_r2.m1.g1.t1_upstream2	OZ210594.1	10700077	10700277	-	0.01
535367at33208_r2.m1.g1.t1_1_exon	OZ210594.1	10700134	10700177	-	0.01
535367at33208_r2.m1.g1.t1_1_intron	OZ210594.1	10698929	10700134	-	0.01
535367at33208_r2.m1.g1.t1_2_exon	OZ210594.1	10698915	10698929	-	0.01
535367at33208_r2.m1.g1.t1_2_intron	OZ210594.1	10696909	10698915	-	0.01
535367at33208_r2.m1.g1.t1_3_exon	OZ210594.1	10696753	10696909	-	0.02
535367at33208_r2.m1.g1.t1_3_intron	OZ210594.1	10696429	10696753	-	0.02
535367at33208_r2.m1.g1.t1_4_exon	OZ210594.1	10696222	10696429	-	0.01
535367at33208_r2.m1.g1.t1_4_intron	OZ210594.1	10696038	10696222	-	0.01
535367at33208_r2.m1.g1.t1_5_exon	OZ210594.1	10696026	10696038	-	0.01
535367at33208_r2.m1.g1.t1_5_intron	OZ210594.1	10695815	10696026	-	0.01
535367at33208_r2.m1.g1.t1_6_exon	OZ210594.1	10695801	10695815	-	0.01
535367at33208_r2.m1.g1.t1_6_intron	OZ210594.1	10695746	10695801	-	0.01
535367at33208_r2.m1.g1.t1_7_exon	OZ210594.1	10695581	10695746	-	0.01
535367at33208_r2.m1.g1.t1_7_intron	OZ210594.1	10695535	10695581	-	0.01
535367at33208_r2.m1.g1.t1_8_exon	OZ210594.1	10695417	10695535	-	0.01
535367at33208_r2.m1.g1.t1_8_intron	OZ210594.1	10695003	10695417	-	0.01
535367at33208_r2.m1.g1.t1_9_exon	OZ210594.1	10694991	10695003	-	0.01
535367at33208_r2.m1.g1.t1_9_intron	OZ210594.1	10694945	10694991	-	0.01
535367at33208_r2.m1.g1.t1_10_exon	OZ210594.1	10694933	10694945	-	0.01
535367at33208_r2.m1.g1.t1_10_intron	OZ210594.1	10694801	10694933	-	0.01
535367at33208_r2.m1.g1.t1_11_exon	OZ210594.1	10694791	10694801	-	0.01
535367at33208_r2.m1.g1.t1_11_intron	OZ210594.1	10694699	10694791	-	0.01
535367at33208_r2.m1.g1.t1_12_exon	OZ210594.1	10694669	10694699	-	0.01
535367at33208_r2.m1.g1.t1_12_intron	OZ210594.1	10693109	10694669	-	0.01
535367at33208_r2.m1.g1.t1_13_exon	OZ210594.1	10693097	10693109	-	0.01
535367at33208_r2.m1.g1.t1_13_intron	OZ210594.1	10692691	10693097	-	0.01
535367at33208_r2.m1.g1.t1_14_exon	OZ210594.1	10692674	10692691	-	0.01
535367at33208_r2.m1.g1.t1_14_intron	OZ210594.1	10691964	10692674	-	0.01
535367at33208_r2.m1.g1.t1_15_exon	OZ210594.1	10691931	10691964	-	0.01
535367at33208_r2.m1.g1.t1_15_intron	OZ210594.1	10691830	10691931	-	0.01
535367at33208_r2.m1.g1.t1_16_exon	OZ210594.1	10691692	10691830	-	0.08
535367at33208_r2.m1.g1.t1_16_intron	OZ210594.1	10691340	10691692	-	0.08
535367at33208_r2.m1.g1.t1_17_exon	OZ210594.1	10690992	10691340	-	0.08
535367at33208_r2.m1.g1.t1_downstream1	OZ210594.1	10690992	10691092	-	0.08
535367at33208_r2.m1.g1.t1_downstream2	OZ210594.1	10690792	10690992	-	0.08
578582at33208_r2.m1.g2.t1_upstream1	OZ210593.1	21441646	21441846	-	0.01
578582at33208_r2.m1.g2.t1_upstream2	OZ210593.1	21441446	21441646	-	0.01
578582at33208_r2.m1.g2.t1_1_exon	OZ210593.1	21441477	21441546	-	0.01
578582at33208_r2.m1.g2.t1_1_intron	OZ210593.1	21441424	21441477	-	0.01
578582at33208_r2.m1.g2.t1_2_exon	OZ210593.1	21441319	21441424	-	0.06
578582at33208_r2.m1.g2.t1_2_intron	OZ210593.1	21441198	21441319	-	0.06
578582at33208_r2.m1.g2.t1_3_exon	OZ210593.1	21441098	21441198	-	0.67
578582at33208_r2.m1.g2.t1_3_intron	OZ210593.1	21440868	21441098	-	0.67
578582at33208_r2.m1.g2.t1_4_exon	OZ210593.1	21440783	21440868	-	0.01
578582at33208_r2.m1.g2.t1_4_intron	OZ210593.1	21440322	21440783	-	0.01
578582at33208_r2.m1.g2.t1_5_exon	OZ210593.1	21440186	21440322	-	0.24
578582at33208_r2.m1.g2.t1_5_intron	OZ210593.1	21439942	21440186	-	0.24
578582at33208_r2.m1.g2.t1_6_exon	OZ210593.1	21439849	21439942	-	0.06
578582at33208_r2.m1.g2.t1_downstream1	OZ210593.1	21439849	21439949	-	0.06
578582at33208_r2.m1.g2.t1_downstream2	OZ210593.1	21439649	21439849	-	0.06
625077at33208_r2.m1.g1.t1_upstream1	OZ210595.1	14351563	14351763	+	0.58
625077at33208_r2.m1.g1.t1_upstream2	OZ210595.1	14351763	14351963	+	0.58
625077at33208_r2.m1.g1.t1_1_exon	OZ210595.1	14351863	14351983	+	0.91
625077at33208_r2.m1.g1.t1_1_intron	OZ210595.1	14351983	14352679	+	0.91
625077at33208_r2.m1.g1.t1_2_exon	OZ210595.1	14352679	14352790	+	1.0
625077at33208_r2.m1.g1.t1_2_intron	OZ210595.1	14352790	14353389	+	1.0
625077at33208_r2.m1.g1.t1_3_exon	OZ210595.1	14353389	14353533	+	0.7
625077at33208_r2.m1.g1.t1_3_intron	OZ210595.1	14353533	14354106	+	0.7
625077at33208_r2.m1.g1.t1_4_exon	OZ210595.1	14354106	14354301	+	0.98
625077at33208_r2.m1.g1.t1_downstream1	OZ210595.1	14354201	14354301	+	0.98
625077at33208_r2.m1.g1.t1_downstream2	OZ210595.1	14354301	14354501	+	0.98
