Region	Reference	Start	End	Strand	Score
135294at33208_r2.m1.g1.t1_3_intron	OZ210597.1	127942	128793	-	0.54
135294at33208_r2.m1.g1.t1_4_exon	OZ210597.1	127812	127942	-	0.71
135294at33208_r2.m1.g1.t1_4_intron	OZ210597.1	126681	127812	-	0.71
135294at33208_r2.m1.g1.t1_5_exon	OZ210597.1	126324	126681	-	0.79
135294at33208_r2.m1.g1.t1_5_intron	OZ210597.1	124266	126324	-	0.79
135294at33208_r2.m1.g1.t1_6_exon	OZ210597.1	124243	124266	-	0.54
135294at33208_r2.m1.g1.t1_6_intron	OZ210597.1	124032	124243	-	0.54
135294at33208_r2.m1.g1.t1_7_exon	OZ210597.1	123894	124032	-	0.63
135294at33208_r2.m1.g1.t1_7_intron	OZ210597.1	123355	123894	-	0.63
135294at33208_r2.m1.g1.t1_8_exon	OZ210597.1	123147	123355	-	0.34
135294at33208_r2.m1.g1.t1_downstream1	OZ210597.1	123147	123247	-	0.34
135294at33208_r2.m1.g1.t1_downstream2	OZ210597.1	122947	123147	-	0.34
143619at33208_r2.m1.g1.t1_upstream1	OZ210597.1	15517871	15518071	-	0.02
143619at33208_r2.m1.g1.t1_upstream2	OZ210597.1	15517671	15517871	-	0.02
143619at33208_r2.m1.g1.t1_1_exon	OZ210597.1	15517630	15517771	-	0.91
143619at33208_r2.m1.g1.t1_1_intron	OZ210597.1	15517574	15517630	-	0.91
143619at33208_r2.m1.g1.t1_2_exon	OZ210597.1	15517481	15517574	-	0.49
143619at33208_r2.m1.g1.t1_2_intron	OZ210597.1	15516688	15517481	-	0.49
143619at33208_r2.m1.g1.t1_3_exon	OZ210597.1	15516524	15516688	-	0.92
143619at33208_r2.m1.g1.t1_3_intron	OZ210597.1	15516150	15516524	-	0.92
143619at33208_r2.m1.g1.t1_4_exon	OZ210597.1	15516039	15516150	-	0.64
143619at33208_r2.m1.g1.t1_4_intron	OZ210597.1	15515813	15516039	-	0.64
143619at33208_r2.m1.g1.t1_5_exon	OZ210597.1	15515678	15515813	-	0.9
143619at33208_r2.m1.g1.t1_5_intron	OZ210597.1	15515483	15515678	-	0.9
143619at33208_r2.m1.g1.t1_6_exon	OZ210597.1	15515200	15515483	-	0.19
143619at33208_r2.m1.g1.t1_downstream1	OZ210597.1	15515200	15515300	-	0.19
143619at33208_r2.m1.g1.t1_downstream2	OZ210597.1	15515000	15515200	-	0.19
169864at33208_r2.m1.g1.t1_upstream1	OZ210594.1	1631387	1631587	+	0.03
169864at33208_r2.m1.g1.t1_upstream2	OZ210594.1	1631587	1631787	+	0.03
169864at33208_r2.m1.g1.t1_1_exon	OZ210594.1	1631687	1631711	+	0.39
169864at33208_r2.m1.g1.t1_1_intron	OZ210594.1	1631711	1633138	+	0.39
169864at33208_r2.m1.g1.t1_2_exon	OZ210594.1	1633138	1633313	+	0.99
169864at33208_r2.m1.g1.t1_2_intron	OZ210594.1	1633313	1633353	+	0.99
169864at33208_r2.m1.g1.t1_3_exon	OZ210594.1	1633353	1633661	+	0.91
169864at33208_r2.m1.g1.t1_3_intron	OZ210594.1	1633661	1633842	+	0.91
169864at33208_r2.m1.g1.t1_4_exon	OZ210594.1	1633842	1633966	+	0.76
169864at33208_r2.m1.g1.t1_4_intron	OZ210594.1	1633966	1634234	+	0.76
169864at33208_r2.m1.g1.t1_5_exon	OZ210594.1	1634234	1634362	+	0.3
169864at33208_r2.m1.g1.t1_5_intron	OZ210594.1	1634362	1634863	+	0.3
169864at33208_r2.m1.g1.t1_6_exon	OZ210594.1	1634863	1634959	+	0.71
169864at33208_r2.m1.g1.t1_6_intron	OZ210594.1	1634959	1635857	+	0.71
169864at33208_r2.m1.g1.t1_7_exon	OZ210594.1	1635857	1636260	+	0.96
169864at33208_r2.m1.g1.t1_7_intron	OZ210594.1	1636260	1636463	+	0.96
169864at33208_r2.m1.g1.t1_8_exon	OZ210594.1	1636463	1636645	+	0.89
169864at33208_r2.m1.g1.t1_8_intron	OZ210594.1	1636645	1636695	+	0.89
169864at33208_r2.m1.g1.t1_9_exon	OZ210594.1	1636695	1636836	+	0.99
169864at33208_r2.m1.g1.t1_9_intron	OZ210594.1	1636836	1637246	+	0.99
169864at33208_r2.m1.g1.t1_10_exon	OZ210594.1	1637246	1637273	+	0.52
169864at33208_r2.m1.g1.t1_downstream1	OZ210594.1	1637173	1637273	+	0.52
169864at33208_r2.m1.g1.t1_downstream2	OZ210594.1	1637273	1637473	+	0.52
208219at33208_r2.m1.g1.t1_upstream1	OZ210594.1	17926167	17926367	+	0.07
208219at33208_r2.m1.g1.t1_upstream2	OZ210594.1	17926367	17926567	+	0.07
208219at33208_r2.m1.g1.t1_1_exon	OZ210594.1	17926467	17926593	+	0.38
208219at33208_r2.m1.g1.t1_1_intron	OZ210594.1	17926593	17926863	+	0.38
208219at33208_r2.m1.g1.t1_2_exon	OZ210594.1	17926863	17927196	+	0.87
208219at33208_r2.m1.g1.t1_2_intron	OZ210594.1	17927196	17927560	+	0.87
208219at33208_r2.m1.g1.t1_3_exon	OZ210594.1	17927560	17927702	+	0.91
208219at33208_r2.m1.g1.t1_3_intron	OZ210594.1	17927702	17928193	+	0.91
208219at33208_r2.m1.g1.t1_4_exon	OZ210594.1	17928193	17928348	+	0.78
208219at33208_r2.m1.g1.t1_4_intron	OZ210594.1	17928348	17929271	+	0.78
208219at33208_r2.m1.g1.t1_5_exon	OZ210594.1	17929271	17929320	+	0.22
208219at33208_r2.m1.g1.t1_5_intron	OZ210594.1	17929320	17929604	+	0.22
208219at33208_r2.m1.g1.t1_6_exon	OZ210594.1	17929604	17929713	+	0.72
208219at33208_r2.m1.g1.t1_6_intron	OZ210594.1	17929713	17929916	+	0.72
208219at33208_r2.m1.g1.t1_7_exon	OZ210594.1	17929916	17930194	+	0.96
208219at33208_r2.m1.g1.t1_7_intron	OZ210594.1	17930194	17930241	+	0.96
208219at33208_r2.m1.g1.t1_8_exon	OZ210594.1	17930241	17930318	+	0.86
208219at33208_r2.m1.g1.t1_downstream1	OZ210594.1	17930218	17930318	+	0.86
208219at33208_r2.m1.g1.t1_downstream2	OZ210594.1	17930318	17930518	+	0.86
235430at33208_r2.m1.g1.t1_upstream1	OZ210594.1	26183099	26183299	+	0.02
235430at33208_r2.m1.g1.t1_upstream2	OZ210594.1	26183299	26183499	+	0.02
235430at33208_r2.m1.g1.t1_1_exon	OZ210594.1	26183399	26183528	+	0.43
235430at33208_r2.m1.g1.t1_1_intron	OZ210594.1	26183528	26183573	+	0.43
235430at33208_r2.m1.g1.t1_2_exon	OZ210594.1	26183573	26184001	+	0.13
235430at33208_r2.m1.g1.t1_2_intron	OZ210594.1	26184001	26184238	+	0.13
235430at33208_r2.m1.g1.t1_3_exon	OZ210594.1	26184238	26184373	+	0.85
235430at33208_r2.m1.g1.t1_3_intron	OZ210594.1	26184373	26184422	+	0.85
235430at33208_r2.m1.g1.t1_4_exon	OZ210594.1	26184422	26184457	+	0.96
235430at33208_r2.m1.g1.t1_4_intron	OZ210594.1	26184457	26184738	+	0.96
235430at33208_r2.m1.g1.t1_5_exon	OZ210594.1	26184738	26188429	+	0.3
235430at33208_r2.m1.g1.t1_5_intron	OZ210594.1	26188429	26189269	+	0.3
235430at33208_r2.m1.g1.t1_6_exon	OZ210594.1	26189269	26189507	+	0.92
235430at33208_r2.m1.g1.t1_6_intron	OZ210594.1	26189507	26189557	+	0.92
235430at33208_r2.m1.g1.t1_7_exon	OZ210594.1	26189557	26189610	+	0.78
235430at33208_r2.m1.g1.t1_7_intron	OZ210594.1	26189610	26192069	+	0.78
235430at33208_r2.m1.g1.t1_8_exon	OZ210594.1	26192069	26192339	+	0.95
235430at33208_r2.m1.g1.t1_downstream1	OZ210594.1	26192239	26192339	+	0.95
235430at33208_r2.m1.g1.t1_downstream2	OZ210594.1	26192339	26192539	+	0.95
244863at33208_r2.m1.g1.t1_upstream1	OZ210592.1	19649893	19650093	-	0.01
244863at33208_r2.m1.g1.t1_upstream2	OZ210592.1	19649693	19649893	-	0.01
244863at33208_r2.m1.g1.t1_1_exon	OZ210592.1	19649679	19649793	-	0.37
244863at33208_r2.m1.g1.t1_1_intron	OZ210592.1	19649623	19649679	-	0.37
244863at33208_r2.m1.g1.t1_2_exon	OZ210592.1	19649515	19649623	-	0.49
244863at33208_r2.m1.g1.t1_2_intron	OZ210592.1	19648821	19649515	-	0.49
244863at33208_r2.m1.g1.t1_3_exon	OZ210592.1	19648627	19648821	-	0.75
244863at33208_r2.m1.g1.t1_3_intron	OZ210592.1	19648469	19648627	-	0.75
244863at33208_r2.m1.g1.t1_4_exon	OZ210592.1	19648150	19648469	-	0.84
244863at33208_r2.m1.g1.t1_4_intron	OZ210592.1	19647769	19648150	-	0.84
244863at33208_r2.m1.g1.t1_5_exon	OZ210592.1	19647668	19647769	-	0.32
244863at33208_r2.m1.g1.t1_5_intron	OZ210592.1	19647371	19647668	-	0.32
244863at33208_r2.m1.g1.t1_6_exon	OZ210592.1	19647254	19647371	-	0.59
244863at33208_r2.m1.g1.t1_6_intron	OZ210592.1	19647126	19647254	-	0.59
244863at33208_r2.m1.g1.t1_7_exon	OZ210592.1	19646648	19647126	-	0.59
244863at33208_r2.m1.g1.t1_7_intron	OZ210592.1	19646609	19646648	-	0.59
244863at33208_r2.m1.g1.t1_8_exon	OZ210592.1	19646483	19646609	-	0.36
244863at33208_r2.m1.g1.t1_8_intron	OZ210592.1	19645831	19646483	-	0.36
244863at33208_r2.m1.g1.t1_9_exon	OZ210592.1	19645757	19645831	-	0.65
244863at33208_r2.m1.g1.t1_9_intron	OZ210592.1	19645429	19645757	-	0.65
244863at33208_r2.m1.g1.t1_10_exon	OZ210592.1	19645159	19645429	-	0.35
244863at33208_r2.m1.g1.t1_10_intron	OZ210592.1	19645117	19645159	-	0.35
244863at33208_r2.m1.g1.t1_11_exon	OZ210592.1	19644880	19645117	-	0.98
244863at33208_r2.m1.g1.t1_11_intron	OZ210592.1	19644240	19644880	-	0.98
244863at33208_r2.m1.g1.t1_12_exon	OZ210592.1	19644031	19644240	-	0.79
244863at33208_r2.m1.g1.t1_12_intron	OZ210592.1	19643988	19644031	-	0.79
244863at33208_r2.m1.g1.t1_13_exon	OZ210592.1	19643838	19643988	-	0.82
244863at33208_r2.m1.g1.t1_13_intron	OZ210592.1	19643449	19643838	-	0.82
244863at33208_r2.m1.g1.t1_14_exon	OZ210592.1	19643147	19643449	-	0.97
244863at33208_r2.m1.g1.t1_14_intron	OZ210592.1	19642800	19643147	-	0.97
244863at33208_r2.m1.g1.t1_15_exon	OZ210592.1	19642700	19642800	-	0.96
244863at33208_r2.m1.g1.t1_15_intron	OZ210592.1	19642646	19642700	-	0.96
244863at33208_r2.m1.g1.t1_16_exon	OZ210592.1	19642376	19642646	-	1.0
244863at33208_r2.m1.g1.t1_16_intron	OZ210592.1	19642333	19642376	-	1.0
244863at33208_r2.m1.g1.t1_17_exon	OZ210592.1	19642217	19642333	-	0.94
244863at33208_r2.m1.g1.t1_17_intron	OZ210592.1	19641753	19642217	-	0.94
244863at33208_r2.m1.g1.t1_18_exon	OZ210592.1	19641595	19641753	-	0.94
244863at33208_r2.m1.g1.t1_downstream1	OZ210592.1	19641595	19641695	-	0.94
244863at33208_r2.m1.g1.t1_downstream2	OZ210592.1	19641395	19641595	-	0.94
247183at33208_r2.m1.g2.t1_upstream1	OZ210597.1	29502369	29502569	+	0.04
247183at33208_r2.m1.g2.t1_upstream2	OZ210597.1	29502569	29502769	+	0.04
247183at33208_r2.m1.g2.t1_1_exon	OZ210597.1	29502669	29502672	+	0.61
247183at33208_r2.m1.g2.t1_1_intron	OZ210597.1	29502672	29503359	+	0.61
247183at33208_r2.m1.g2.t1_2_exon	OZ210597.1	29503359	29503498	+	0.82
247183at33208_r2.m1.g2.t1_2_intron	OZ210597.1	29503498	29506558	+	0.82
247183at33208_r2.m1.g2.t1_3_exon	OZ210597.1	29506558	29506647	+	0.77
247183at33208_r2.m1.g2.t1_3_intron	OZ210597.1	29506647	29506690	+	0.77
247183at33208_r2.m1.g2.t1_4_exon	OZ210597.1	29506690	29506909	+	0.4
247183at33208_r2.m1.g2.t1_4_intron	OZ210597.1	29506909	29507156	+	0.4
247183at33208_r2.m1.g2.t1_5_exon	OZ210597.1	29507156	29507469	+	0.88
247183at33208_r2.m1.g2.t1_5_intron	OZ210597.1	29507469	29507611	+	0.88
247183at33208_r2.m1.g2.t1_6_exon	OZ210597.1	29507611	29507799	+	0.67
247183at33208_r2.m1.g2.t1_6_intron	OZ210597.1	29507799	29508414	+	0.67
247183at33208_r2.m1.g2.t1_7_exon	OZ210597.1	29508414	29508591	+	0.64
247183at33208_r2.m1.g2.t1_downstream1	OZ210597.1	29508491	29508591	+	0.64
247183at33208_r2.m1.g2.t1_downstream2	OZ210597.1	29508591	29508791	+	0.64
247905at33208_r2.m1.g3.t1_upstream1	OZ210595.1	17349200	17349400	-	0.19
247905at33208_r2.m1.g3.t1_upstream2	OZ210595.1	17349000	17349200	-	0.19
247905at33208_r2.m1.g3.t1_1_exon	OZ210595.1	17349006	17349100	-	0.39
247905at33208_r2.m1.g3.t1_1_intron	OZ210595.1	17348459	17349006	-	0.39
247905at33208_r2.m1.g3.t1_2_exon	OZ210595.1	17348308	17348459	-	0.85
247905at33208_r2.m1.g3.t1_2_intron	OZ210595.1	17348213	17348308	-	0.85
247905at33208_r2.m1.g3.t1_3_exon	OZ210595.1	17347978	17348213	-	0.83
247905at33208_r2.m1.g3.t1_3_intron	OZ210595.1	17347408	17347978	-	0.83
247905at33208_r2.m1.g3.t1_4_exon	OZ210595.1	17347290	17347408	-	1.0
247905at33208_r2.m1.g3.t1_4_intron	OZ210595.1	17346846	17347290	-	1.0
247905at33208_r2.m1.g3.t1_5_exon	OZ210595.1	17346739	17346846	-	0.94
247905at33208_r2.m1.g3.t1_5_intron	OZ210595.1	17346369	17346739	-	0.94
247905at33208_r2.m1.g3.t1_6_exon	OZ210595.1	17346174	17346369	-	0.77
247905at33208_r2.m1.g3.t1_6_intron	OZ210595.1	17345819	17346174	-	0.77
247905at33208_r2.m1.g3.t1_7_exon	OZ210595.1	17345645	17345819	-	0.98
247905at33208_r2.m1.g3.t1_7_intron	OZ210595.1	17345600	17345645	-	0.98
247905at33208_r2.m1.g3.t1_8_exon	OZ210595.1	17345498	17345600	-	0.98
247905at33208_r2.m1.g3.t1_downstream1	OZ210595.1	17345498	17345598	-	0.98
247905at33208_r2.m1.g3.t1_downstream2	OZ210595.1	17345298	17345498	-	0.98
251076at33208_r2.m1.g2.t1_upstream1	OZ210592.1	16423849	16424049	-	0.04
251076at33208_r2.m1.g2.t1_upstream2	OZ210592.1	16423649	16423849	-	0.04
251076at33208_r2.m1.g2.t1_1_exon	OZ210592.1	16423661	16423749	-	0.98
251076at33208_r2.m1.g2.t1_1_intron	OZ210592.1	16421757	16423661	-	0.98
251076at33208_r2.m1.g2.t1_2_exon	OZ210592.1	16421635	16421757	-	0.38
251076at33208_r2.m1.g2.t1_2_intron	OZ210592.1	16421596	16421635	-	0.38
251076at33208_r2.m1.g2.t1_3_exon	OZ210592.1	16421393	16421596	-	0.94
251076at33208_r2.m1.g2.t1_3_intron	OZ210592.1	16420748	16421393	-	0.94
251076at33208_r2.m1.g2.t1_4_exon	OZ210592.1	16420564	16420748	-	0.56
251076at33208_r2.m1.g2.t1_downstream1	OZ210592.1	16420564	16420664	-	0.56
251076at33208_r2.m1.g2.t1_downstream2	OZ210592.1	16420364	16420564	-	0.56
285902at33208_r2.m1.g2.t1_upstream1	OZ210596.1	15997638	15997838	-	0.04
285902at33208_r2.m1.g2.t1_upstream2	OZ210596.1	15997438	15997638	-	0.04
285902at33208_r2.m1.g2.t1_1_exon	OZ210596.1	15997534	15997538	-	0.29
285902at33208_r2.m1.g2.t1_1_intron	OZ210596.1	15997116	15997534	-	0.29
285902at33208_r2.m1.g2.t1_2_exon	OZ210596.1	15996946	15997116	-	0.27
285902at33208_r2.m1.g2.t1_2_intron	OZ210596.1	15996493	15996946	-	0.27
285902at33208_r2.m1.g2.t1_3_exon	OZ210596.1	15996409	15996493	-	0.6
285902at33208_r2.m1.g2.t1_3_intron	OZ210596.1	15996201	15996409	-	0.6
285902at33208_r2.m1.g2.t1_4_exon	OZ210596.1	15996052	15996201	-	0.89
285902at33208_r2.m1.g2.t1_4_intron	OZ210596.1	15996010	15996052	-	0.89
285902at33208_r2.m1.g2.t1_5_exon	OZ210596.1	15995939	15996010	-	0.97
285902at33208_r2.m1.g2.t1_5_intron	OZ210596.1	15995717	15995939	-	0.97
285902at33208_r2.m1.g2.t1_6_exon	OZ210596.1	15995427	15995717	-	1.0
285902at33208_r2.m1.g2.t1_6_intron	OZ210596.1	15995388	15995427	-	1.0
285902at33208_r2.m1.g2.t1_7_exon	OZ210596.1	15995241	15995388	-	0.48
285902at33208_r2.m1.g2.t1_7_intron	OZ210596.1	15995164	15995241	-	0.48
285902at33208_r2.m1.g2.t1_8_exon	OZ210596.1	15995110	15995164	-	0.19
285902at33208_r2.m1.g2.t1_downstream1	OZ210596.1	15995110	15995210	-	0.19
285902at33208_r2.m1.g2.t1_downstream2	OZ210596.1	15994910	15995110	-	0.19
300303at33208_r2.m1.g1.t1_upstream1	OZ210592.1	31124472	31124672	+	0.01
300303at33208_r2.m1.g1.t1_upstream2	OZ210592.1	31124672	31124872	+	0.01
300303at33208_r2.m1.g1.t1_1_exon	OZ210592.1	31124772	31124905	+	0.28
300303at33208_r2.m1.g1.t1_1_intron	OZ210592.1	31124905	31124948	+	0.28
300303at33208_r2.m1.g1.t1_2_exon	OZ210592.1	31124948	31125063	+	1.0
300303at33208_r2.m1.g1.t1_2_intron	OZ210592.1	31125063	31125314	+	1.0
300303at33208_r2.m1.g1.t1_3_exon	OZ210592.1	31125314	31125419	+	0.7
300303at33208_r2.m1.g1.t1_3_intron	OZ210592.1	31125419	31125460	+	0.7
