Region	Reference	Start	End	Strand	Score
109109at33208_r2.m1.g1.t1_8_exon	OZ210595.1	19362725	19362785	+	0.01
109109at33208_r2.m1.g1.t1_8_intron	OZ210595.1	19362785	19365630	+	0.01
109109at33208_r2.m1.g1.t1_9_exon	OZ210595.1	19365630	19365642	+	0.01
109109at33208_r2.m1.g1.t1_9_intron	OZ210595.1	19365642	19368346	+	0.01
109109at33208_r2.m1.g1.t1_10_exon	OZ210595.1	19368346	19368464	+	0.01
109109at33208_r2.m1.g1.t1_10_intron	OZ210595.1	19368464	19368510	+	0.01
109109at33208_r2.m1.g1.t1_11_exon	OZ210595.1	19368510	19368857	+	0.03
109109at33208_r2.m1.g1.t1_11_intron	OZ210595.1	19368857	19369282	+	0.03
109109at33208_r2.m1.g1.t1_12_exon	OZ210595.1	19369282	19369438	+	0.01
109109at33208_r2.m1.g1.t1_12_intron	OZ210595.1	19369438	19369597	+	0.01
109109at33208_r2.m1.g1.t1_13_exon	OZ210595.1	19369597	19369831	+	0.03
109109at33208_r2.m1.g1.t1_13_intron	OZ210595.1	19369831	19369882	+	0.03
109109at33208_r2.m1.g1.t1_14_exon	OZ210595.1	19369882	19370016	+	0.01
109109at33208_r2.m1.g1.t1_14_intron	OZ210595.1	19370016	19370225	+	0.01
109109at33208_r2.m1.g1.t1_15_exon	OZ210595.1	19370225	19370262	+	0.01
109109at33208_r2.m1.g1.t1_15_intron	OZ210595.1	19370262	19372356	+	0.01
109109at33208_r2.m1.g1.t1_16_exon	OZ210595.1	19372356	19372369	+	0.01
109109at33208_r2.m1.g1.t1_16_intron	OZ210595.1	19372369	19372578	+	0.01
109109at33208_r2.m1.g1.t1_17_exon	OZ210595.1	19372578	19372592	+	0.01
109109at33208_r2.m1.g1.t1_17_intron	OZ210595.1	19372592	19373199	+	0.01
109109at33208_r2.m1.g1.t1_18_exon	OZ210595.1	19373199	19373253	+	0.01
109109at33208_r2.m1.g1.t1_downstream1	OZ210595.1	19373153	19373253	+	0.01
109109at33208_r2.m1.g1.t1_downstream2	OZ210595.1	19373253	19373453	+	0.01
13816at33208_r2.m1.g1.t1_upstream1	OZ210596.1	14761516	14761716	+	0.01
13816at33208_r2.m1.g1.t1_upstream2	OZ210596.1	14761716	14761916	+	0.01
13816at33208_r2.m1.g1.t1_1_exon	OZ210596.1	14761816	14761934	+	0.55
13816at33208_r2.m1.g1.t1_1_intron	OZ210596.1	14761934	14762271	+	0.55
13816at33208_r2.m1.g1.t1_2_exon	OZ210596.1	14762271	14762439	+	0.9
13816at33208_r2.m1.g1.t1_2_intron	OZ210596.1	14762439	14762771	+	0.9
13816at33208_r2.m1.g1.t1_3_exon	OZ210596.1	14762771	14763101	+	0.6
13816at33208_r2.m1.g1.t1_3_intron	OZ210596.1	14763101	14765701	+	0.6
13816at33208_r2.m1.g1.t1_4_exon	OZ210596.1	14765701	14766223	+	0.63
13816at33208_r2.m1.g1.t1_4_intron	OZ210596.1	14766223	14766625	+	0.63
13816at33208_r2.m1.g1.t1_5_exon	OZ210596.1	14766625	14766839	+	0.45
13816at33208_r2.m1.g1.t1_5_intron	OZ210596.1	14766839	14768073	+	0.45
13816at33208_r2.m1.g1.t1_6_exon	OZ210596.1	14768073	14768308	+	0.39
13816at33208_r2.m1.g1.t1_6_intron	OZ210596.1	14768308	14768465	+	0.39
13816at33208_r2.m1.g1.t1_7_exon	OZ210596.1	14768465	14769030	+	0.99
13816at33208_r2.m1.g1.t1_7_intron	OZ210596.1	14769030	14769390	+	0.99
13816at33208_r2.m1.g1.t1_8_exon	OZ210596.1	14769390	14769605	+	0.94
13816at33208_r2.m1.g1.t1_8_intron	OZ210596.1	14769605	14769655	+	0.94
13816at33208_r2.m1.g1.t1_9_exon	OZ210596.1	14769655	14770246	+	1.0
13816at33208_r2.m1.g1.t1_9_intron	OZ210596.1	14770246	14770345	+	1.0
13816at33208_r2.m1.g1.t1_10_exon	OZ210596.1	14770345	14770502	+	0.62
13816at33208_r2.m1.g1.t1_10_intron	OZ210596.1	14770502	14770902	+	0.62
13816at33208_r2.m1.g1.t1_11_exon	OZ210596.1	14770902	14771141	+	0.98
13816at33208_r2.m1.g1.t1_11_intron	OZ210596.1	14771141	14771357	+	0.98
13816at33208_r2.m1.g1.t1_12_exon	OZ210596.1	14771357	14772029	+	0.96
13816at33208_r2.m1.g1.t1_12_intron	OZ210596.1	14772029	14772091	+	0.96
13816at33208_r2.m1.g1.t1_13_exon	OZ210596.1	14772091	14772268	+	0.98
13816at33208_r2.m1.g1.t1_13_intron	OZ210596.1	14772268	14772396	+	0.98
13816at33208_r2.m1.g1.t1_14_exon	OZ210596.1	14772396	14772782	+	0.99
13816at33208_r2.m1.g1.t1_14_intron	OZ210596.1	14772782	14772828	+	0.99
13816at33208_r2.m1.g1.t1_15_exon	OZ210596.1	14772828	14773050	+	0.6
13816at33208_r2.m1.g1.t1_15_intron	OZ210596.1	14773050	14773191	+	0.6
13816at33208_r2.m1.g1.t1_16_exon	OZ210596.1	14773191	14773491	+	0.95
13816at33208_r2.m1.g1.t1_downstream1	OZ210596.1	14773391	14773491	+	0.95
13816at33208_r2.m1.g1.t1_downstream2	OZ210596.1	14773491	14773691	+	0.95
177718at33208_r2.m1.g1.t1_upstream1	OZ210596.1	11412598	11412798	+	0.05
177718at33208_r2.m1.g1.t1_upstream2	OZ210596.1	11412798	11412998	+	0.05
177718at33208_r2.m1.g1.t1_1_exon	OZ210596.1	11412898	11413120	+	0.97
177718at33208_r2.m1.g1.t1_1_intron	OZ210596.1	11413120	11413249	+	0.97
177718at33208_r2.m1.g1.t1_2_exon	OZ210596.1	11413249	11413304	+	0.98
177718at33208_r2.m1.g1.t1_2_intron	OZ210596.1	11413304	11413637	+	0.98
177718at33208_r2.m1.g1.t1_3_exon	OZ210596.1	11413637	11413789	+	0.79
177718at33208_r2.m1.g1.t1_3_intron	OZ210596.1	11413789	11414164	+	0.79
177718at33208_r2.m1.g1.t1_4_exon	OZ210596.1	11414164	11414298	+	0.98
177718at33208_r2.m1.g1.t1_4_intron	OZ210596.1	11414298	11414357	+	0.98
177718at33208_r2.m1.g1.t1_5_exon	OZ210596.1	11414357	11414461	+	0.85
177718at33208_r2.m1.g1.t1_5_intron	OZ210596.1	11414461	11414815	+	0.85
177718at33208_r2.m1.g1.t1_6_exon	OZ210596.1	11414815	11414927	+	0.98
177718at33208_r2.m1.g1.t1_6_intron	OZ210596.1	11414927	11416224	+	0.98
177718at33208_r2.m1.g1.t1_7_exon	OZ210596.1	11416224	11416366	+	1.0
177718at33208_r2.m1.g1.t1_7_intron	OZ210596.1	11416366	11416842	+	1.0
177718at33208_r2.m1.g1.t1_8_exon	OZ210596.1	11416842	11417023	+	0.98
177718at33208_r2.m1.g1.t1_8_intron	OZ210596.1	11417023	11417071	+	0.98
177718at33208_r2.m1.g1.t1_9_exon	OZ210596.1	11417071	11417328	+	0.35
177718at33208_r2.m1.g1.t1_downstream1	OZ210596.1	11417228	11417328	+	0.35
177718at33208_r2.m1.g1.t1_downstream2	OZ210596.1	11417328	11417528	+	0.35
184508at33208_r2.m1.g1.t1_upstream1	OZ210596.1	17037363	17037563	+	0.03
184508at33208_r2.m1.g1.t1_upstream2	OZ210596.1	17037563	17037763	+	0.03
184508at33208_r2.m1.g1.t1_1_exon	OZ210596.1	17037663	17037753	+	0.81
184508at33208_r2.m1.g1.t1_1_intron	OZ210596.1	17037753	17038606	+	0.81
184508at33208_r2.m1.g1.t1_2_exon	OZ210596.1	17038606	17038776	+	0.88
184508at33208_r2.m1.g1.t1_2_intron	OZ210596.1	17038776	17039840	+	0.88
184508at33208_r2.m1.g1.t1_3_exon	OZ210596.1	17039840	17039961	+	1.0
184508at33208_r2.m1.g1.t1_3_intron	OZ210596.1	17039961	17040076	+	1.0
184508at33208_r2.m1.g1.t1_4_exon	OZ210596.1	17040076	17040183	+	1.0
184508at33208_r2.m1.g1.t1_4_intron	OZ210596.1	17040183	17040953	+	1.0
184508at33208_r2.m1.g1.t1_5_exon	OZ210596.1	17040953	17041060	+	0.4
184508at33208_r2.m1.g1.t1_5_intron	OZ210596.1	17041060	17041215	+	0.4
184508at33208_r2.m1.g1.t1_6_exon	OZ210596.1	17041215	17041393	+	1.0
184508at33208_r2.m1.g1.t1_6_intron	OZ210596.1	17041393	17041965	+	1.0
184508at33208_r2.m1.g1.t1_7_exon	OZ210596.1	17041965	17042236	+	0.38
184508at33208_r2.m1.g1.t1_7_intron	OZ210596.1	17042236	17043267	+	0.38
184508at33208_r2.m1.g1.t1_8_exon	OZ210596.1	17043267	17043421	+	0.66
184508at33208_r2.m1.g1.t1_8_intron	OZ210596.1	17043421	17043739	+	0.66
184508at33208_r2.m1.g1.t1_9_exon	OZ210596.1	17043739	17043881	+	0.74
184508at33208_r2.m1.g1.t1_9_intron	OZ210596.1	17043881	17044222	+	0.74
184508at33208_r2.m1.g1.t1_10_exon	OZ210596.1	17044222	17044416	+	0.64
184508at33208_r2.m1.g1.t1_downstream1	OZ210596.1	17044316	17044416	+	0.64
184508at33208_r2.m1.g1.t1_downstream2	OZ210596.1	17044416	17044616	+	0.64
190726at33208_r2.m1.g1.t1_upstream1	OZ210596.1	18749510	18749710	+	0.15
190726at33208_r2.m1.g1.t1_upstream2	OZ210596.1	18749710	18749910	+	0.15
190726at33208_r2.m1.g1.t1_1_exon	OZ210596.1	18749810	18750019	+	0.71
190726at33208_r2.m1.g1.t1_1_intron	OZ210596.1	18750019	18750063	+	0.71
190726at33208_r2.m1.g1.t1_2_exon	OZ210596.1	18750063	18750202	+	1.0
190726at33208_r2.m1.g1.t1_2_intron	OZ210596.1	18750202	18750345	+	1.0
190726at33208_r2.m1.g1.t1_3_exon	OZ210596.1	18750345	18750508	+	0.99
190726at33208_r2.m1.g1.t1_3_intron	OZ210596.1	18750508	18751011	+	0.99
190726at33208_r2.m1.g1.t1_4_exon	OZ210596.1	18751011	18751225	+	0.99
190726at33208_r2.m1.g1.t1_4_intron	OZ210596.1	18751225	18751344	+	0.99
190726at33208_r2.m1.g1.t1_5_exon	OZ210596.1	18751344	18751492	+	0.54
190726at33208_r2.m1.g1.t1_5_intron	OZ210596.1	18751492	18752017	+	0.54
190726at33208_r2.m1.g1.t1_6_exon	OZ210596.1	18752017	18752160	+	0.46
190726at33208_r2.m1.g1.t1_6_intron	OZ210596.1	18752160	18752503	+	0.46
190726at33208_r2.m1.g1.t1_7_exon	OZ210596.1	18752503	18752696	+	0.81
190726at33208_r2.m1.g1.t1_downstream1	OZ210596.1	18752596	18752696	+	0.81
190726at33208_r2.m1.g1.t1_downstream2	OZ210596.1	18752696	18752896	+	0.81
192250at33208_r2.m1.g1.t1_upstream1	OZ210596.1	29188709	29188909	-	0.01
192250at33208_r2.m1.g1.t1_upstream2	OZ210596.1	29188509	29188709	-	0.01
192250at33208_r2.m1.g1.t1_1_exon	OZ210596.1	29187872	29188609	-	0.53
192250at33208_r2.m1.g1.t1_1_intron	OZ210596.1	29187384	29187872	-	0.53
192250at33208_r2.m1.g1.t1_2_exon	OZ210596.1	29187263	29187384	-	0.71
192250at33208_r2.m1.g1.t1_2_intron	OZ210596.1	29187038	29187263	-	0.71
192250at33208_r2.m1.g1.t1_3_exon	OZ210596.1	29186907	29187038	-	0.73
192250at33208_r2.m1.g1.t1_3_intron	OZ210596.1	29186736	29186907	-	0.73
192250at33208_r2.m1.g1.t1_4_exon	OZ210596.1	29186689	29186736	-	0.2
192250at33208_r2.m1.g1.t1_4_intron	OZ210596.1	29186131	29186689	-	0.2
192250at33208_r2.m1.g1.t1_5_exon	OZ210596.1	29185963	29186131	-	0.98
192250at33208_r2.m1.g1.t1_5_intron	OZ210596.1	29185876	29185963	-	0.98
192250at33208_r2.m1.g1.t1_6_exon	OZ210596.1	29185610	29185876	-	1.0
192250at33208_r2.m1.g1.t1_downstream1	OZ210596.1	29185610	29185710	-	1.0
192250at33208_r2.m1.g1.t1_downstream2	OZ210596.1	29185410	29185610	-	1.0
195986at33208_r2.m1.g1.t1_upstream1	OZ210593.1	17244672	17244872	+	0.03
195986at33208_r2.m1.g1.t1_upstream2	OZ210593.1	17244872	17245072	+	0.03
195986at33208_r2.m1.g1.t1_1_exon	OZ210593.1	17244972	17245127	+	0.96
195986at33208_r2.m1.g1.t1_1_intron	OZ210593.1	17245127	17245482	+	0.96
195986at33208_r2.m1.g1.t1_2_exon	OZ210593.1	17245482	17245513	+	0.6
195986at33208_r2.m1.g1.t1_2_intron	OZ210593.1	17245513	17245958	+	0.6
195986at33208_r2.m1.g1.t1_3_exon	OZ210593.1	17245958	17246123	+	0.85
195986at33208_r2.m1.g1.t1_3_intron	OZ210593.1	17246123	17246165	+	0.85
195986at33208_r2.m1.g1.t1_4_exon	OZ210593.1	17246165	17246259	+	0.84
195986at33208_r2.m1.g1.t1_4_intron	OZ210593.1	17246259	17249187	+	0.84
195986at33208_r2.m1.g1.t1_5_exon	OZ210593.1	17249187	17249359	+	1.0
195986at33208_r2.m1.g1.t1_5_intron	OZ210593.1	17249359	17249623	+	1.0
195986at33208_r2.m1.g1.t1_6_exon	OZ210593.1	17249623	17249778	+	0.63
195986at33208_r2.m1.g1.t1_6_intron	OZ210593.1	17249778	17249837	+	0.63
195986at33208_r2.m1.g1.t1_7_exon	OZ210593.1	17249837	17250011	+	0.94
195986at33208_r2.m1.g1.t1_7_intron	OZ210593.1	17250011	17251061	+	0.94
195986at33208_r2.m1.g1.t1_8_exon	OZ210593.1	17251061	17251331	+	0.99
195986at33208_r2.m1.g1.t1_8_intron	OZ210593.1	17251331	17252753	+	0.99
195986at33208_r2.m1.g1.t1_9_exon	OZ210593.1	17252753	17252837	+	0.62
195986at33208_r2.m1.g1.t1_downstream1	OZ210593.1	17252737	17252837	+	0.62
195986at33208_r2.m1.g1.t1_downstream2	OZ210593.1	17252837	17253037	+	0.62
203128at33208_r2.m1.g1.t1_upstream1	OZ210594.1	22365071	22365271	+	0.01
203128at33208_r2.m1.g1.t1_upstream2	OZ210594.1	22365271	22365471	+	0.01
203128at33208_r2.m1.g1.t1_1_exon	OZ210594.1	22365371	22365464	+	0.02
203128at33208_r2.m1.g1.t1_1_intron	OZ210594.1	22365464	22365509	+	0.02
203128at33208_r2.m1.g1.t1_2_exon	OZ210594.1	22365509	22365656	+	0.01
203128at33208_r2.m1.g1.t1_2_intron	OZ210594.1	22365656	22365698	+	0.01
203128at33208_r2.m1.g1.t1_3_exon	OZ210594.1	22365698	22365798	+	0.01
203128at33208_r2.m1.g1.t1_3_intron	OZ210594.1	22365798	22366224	+	0.01
203128at33208_r2.m1.g1.t1_4_exon	OZ210594.1	22366224	22366538	+	0.01
203128at33208_r2.m1.g1.t1_4_intron	OZ210594.1	22366538	22366742	+	0.01
203128at33208_r2.m1.g1.t1_5_exon	OZ210594.1	22366742	22366995	+	0.02
203128at33208_r2.m1.g1.t1_5_intron	OZ210594.1	22366995	22367358	+	0.02
203128at33208_r2.m1.g1.t1_6_exon	OZ210594.1	22367358	22367637	+	0.01
203128at33208_r2.m1.g1.t1_6_intron	OZ210594.1	22367637	22367940	+	0.01
203128at33208_r2.m1.g1.t1_7_exon	OZ210594.1	22367940	22368044	+	0.02
203128at33208_r2.m1.g1.t1_7_intron	OZ210594.1	22368044	22368339	+	0.02
203128at33208_r2.m1.g1.t1_8_exon	OZ210594.1	22368339	22368567	+	0.01
203128at33208_r2.m1.g1.t1_downstream1	OZ210594.1	22368467	22368567	+	0.01
203128at33208_r2.m1.g1.t1_downstream2	OZ210594.1	22368567	22368767	+	0.01
219856at33208_r2.m1.g2.t1_upstream1	OZ210594.1	8560484	8560684	-	0.01
219856at33208_r2.m1.g2.t1_upstream2	OZ210594.1	8560284	8560484	-	0.01
219856at33208_r2.m1.g2.t1_1_exon	OZ210594.1	8560356	8560384	-	0.01
219856at33208_r2.m1.g2.t1_1_intron	OZ210594.1	8555954	8560356	-	0.01
219856at33208_r2.m1.g2.t1_2_exon	OZ210594.1	8555770	8555954	-	0.01
219856at33208_r2.m1.g2.t1_2_intron	OZ210594.1	8555726	8555770	-	0.01
219856at33208_r2.m1.g2.t1_3_exon	OZ210594.1	8555632	8555726	-	0.01
219856at33208_r2.m1.g2.t1_3_intron	OZ210594.1	8555584	8555632	-	0.01
219856at33208_r2.m1.g2.t1_4_exon	OZ210594.1	8555446	8555584	-	0.07
219856at33208_r2.m1.g2.t1_4_intron	OZ210594.1	8555054	8555446	-	0.07
219856at33208_r2.m1.g2.t1_5_exon	OZ210594.1	8554901	8555054	-	0.01
219856at33208_r2.m1.g2.t1_5_intron	OZ210594.1	8553593	8554901	-	0.01
219856at33208_r2.m1.g2.t1_6_exon	OZ210594.1	8553367	8553593	-	0.01
219856at33208_r2.m1.g2.t1_6_intron	OZ210594.1	8552761	8553367	-	0.01
219856at33208_r2.m1.g2.t1_7_exon	OZ210594.1	8552569	8552761	-	0.02
219856at33208_r2.m1.g2.t1_7_intron	OZ210594.1	8552441	8552569	-	0.02
219856at33208_r2.m1.g2.t1_8_exon	OZ210594.1	8552298	8552441	-	0.18
219856at33208_r2.m1.g2.t1_8_intron	OZ210594.1	8551941	8552298	-	0.18
219856at33208_r2.m1.g2.t1_9_exon	OZ210594.1	8551798	8551941	-	0.88
219856at33208_r2.m1.g2.t1_9_intron	OZ210594.1	8551620	8551798	-	0.88
219856at33208_r2.m1.g2.t1_10_exon	OZ210594.1	8551484	8551620	-	1.0
219856at33208_r2.m1.g2.t1_10_intron	OZ210594.1	8551434	8551484	-	1.0
219856at33208_r2.m1.g2.t1_11_exon	OZ210594.1	8551281	8551434	-	0.01
219856at33208_r2.m1.g2.t1_downstream1	OZ210594.1	8551281	8551381	-	0.01
219856at33208_r2.m1.g2.t1_downstream2	OZ210594.1	8551081	8551281	-	0.01
222489at33208_r2.m1.g1.t1_upstream1	OZ210595.1	17733069	17733269	-	0.01
222489at33208_r2.m1.g1.t1_upstream2	OZ210595.1	17732869	17733069	-	0.01
222489at33208_r2.m1.g1.t1_1_exon	OZ210595.1	17732784	17732969	-	0.01
222489at33208_r2.m1.g1.t1_1_intron	OZ210595.1	17732113	17732784	-	0.01
222489at33208_r2.m1.g1.t1_2_exon	OZ210595.1	17731964	17732113	-	0.01
222489at33208_r2.m1.g1.t1_2_intron	OZ210595.1	17729872	17731964	-	0.01
222489at33208_r2.m1.g1.t1_3_exon	OZ210595.1	17729612	17729872	-	0.01
222489at33208_r2.m1.g1.t1_3_intron	OZ210595.1	17728922	17729612	-	0.01
222489at33208_r2.m1.g1.t1_4_exon	OZ210595.1	17728802	17728922	-	0.01
222489at33208_r2.m1.g1.t1_4_intron	OZ210595.1	17728760	17728802	-	0.01
222489at33208_r2.m1.g1.t1_5_exon	OZ210595.1	17728628	17728760	-	0.01
222489at33208_r2.m1.g1.t1_5_intron	OZ210595.1	17728351	17728628	-	0.01
222489at33208_r2.m1.g1.t1_6_exon	OZ210595.1	17728174	17728351	-	0.02
222489at33208_r2.m1.g1.t1_6_intron	OZ210595.1	17726979	17728174	-	0.02
222489at33208_r2.m1.g1.t1_7_exon	OZ210595.1	17726804	17726979	-	0.01
222489at33208_r2.m1.g1.t1_7_intron	OZ210595.1	17726255	17726804	-	0.01
222489at33208_r2.m1.g1.t1_8_exon	OZ210595.1	17726083	17726255	-	0.01
222489at33208_r2.m1.g1.t1_8_intron	OZ210595.1	17726023	17726083	-	0.01
222489at33208_r2.m1.g1.t1_9_exon	OZ210595.1	17725941	17726023	-	0.01
222489at33208_r2.m1.g1.t1_downstream1	OZ210595.1	17725941	17726041	-	0.01
222489at33208_r2.m1.g1.t1_downstream2	OZ210595.1	17725741	17725941	-	0.01
224280at33208_r2.m1.g1.t1_upstream1	OZ210592.1	2885543	2885743	+	0.01
224280at33208_r2.m1.g1.t1_upstream2	OZ210592.1	2885743	2885943	+	0.01
224280at33208_r2.m1.g1.t1_1_exon	OZ210592.1	2885843	2886203	+	0.75
224280at33208_r2.m1.g1.t1_1_intron	OZ210592.1	2886203	2886311	+	0.75
224280at33208_r2.m1.g1.t1_2_exon	OZ210592.1	2886311	2886436	+	0.02
224280at33208_r2.m1.g1.t1_2_intron	OZ210592.1	2886436	2886481	+	0.02
224280at33208_r2.m1.g1.t1_3_exon	OZ210592.1	2886481	2886632	+	0.07
224280at33208_r2.m1.g1.t1_3_intron	OZ210592.1	2886632	2886678	+	0.07
224280at33208_r2.m1.g1.t1_4_exon	OZ210592.1	2886678	2886827	+	0.69
224280at33208_r2.m1.g1.t1_4_intron	OZ210592.1	2886827	2887330	+	0.69
224280at33208_r2.m1.g1.t1_5_exon	OZ210592.1	2887330	2887518	+	0.72
224280at33208_r2.m1.g1.t1_5_intron	OZ210592.1	2887518	2887563	+	0.72
224280at33208_r2.m1.g1.t1_6_exon	OZ210592.1	2887563	2887637	+	0.44
224280at33208_r2.m1.g1.t1_6_intron	OZ210592.1	2887637	2887865	+	0.44
224280at33208_r2.m1.g1.t1_7_exon	OZ210592.1	2887865	2888144	+	0.47
224280at33208_r2.m1.g1.t1_7_intron	OZ210592.1	2888144	2888243	+	0.47
224280at33208_r2.m1.g1.t1_8_exon	OZ210592.1	2888243	2888404	+	0.01
224280at33208_r2.m1.g1.t1_8_intron	OZ210592.1	2888404	2888915	+	0.01
224280at33208_r2.m1.g1.t1_9_exon	OZ210592.1	2888915	2888928	+	0.01
224280at33208_r2.m1.g1.t1_downstream1	OZ210592.1	2888828	2888928	+	0.01
224280at33208_r2.m1.g1.t1_downstream2	OZ210592.1	2888928	2889128	+	0.01
240437at33208_r2.m1.g2.t1_upstream1	OZ210595.1	28874594	28874794	-	0.01
240437at33208_r2.m1.g2.t1_upstream2	OZ210595.1	28874394	28874594	-	0.01
240437at33208_r2.m1.g2.t1_1_exon	OZ210595.1	28874476	28874494	-	0.01
240437at33208_r2.m1.g2.t1_1_intron	OZ210595.1	28872466	28874476	-	0.01
240437at33208_r2.m1.g2.t1_2_exon	OZ210595.1	28872429	28872466	-	0.01
240437at33208_r2.m1.g2.t1_2_intron	OZ210595.1	28871880	28872429	-	0.01
240437at33208_r2.m1.g2.t1_3_exon	OZ210595.1	28871657	28871880	-	0.01
240437at33208_r2.m1.g2.t1_3_intron	OZ210595.1	28871455	28871657	-	0.01
240437at33208_r2.m1.g2.t1_4_exon	OZ210595.1	28871308	28871455	-	0.01
240437at33208_r2.m1.g2.t1_4_intron	OZ210595.1	28870964	28871308	-	0.01
240437at33208_r2.m1.g2.t1_5_exon	OZ210595.1	28870747	28870964	-	0.01
240437at33208_r2.m1.g2.t1_5_intron	OZ210595.1	28870682	28870747	-	0.01
240437at33208_r2.m1.g2.t1_6_exon	OZ210595.1	28870553	28870682	-	0.01
240437at33208_r2.m1.g2.t1_6_intron	OZ210595.1	28870509	28870553	-	0.01
240437at33208_r2.m1.g2.t1_7_exon	OZ210595.1	28870359	28870509	-	0.01
240437at33208_r2.m1.g2.t1_downstream1	OZ210595.1	28870359	28870459	-	0.01
240437at33208_r2.m1.g2.t1_downstream2	OZ210595.1	28870159	28870359	-	0.01
267439at33208_r2.m1.g1.t1_upstream1	OZ210594.1	22366653	22366853	+	0.01
267439at33208_r2.m1.g1.t1_upstream2	OZ210594.1	22366853	22367053	+	0.01
267439at33208_r2.m1.g1.t1_1_exon	OZ210594.1	22366953	22366995	+	0.61
267439at33208_r2.m1.g1.t1_1_intron	OZ210594.1	22366995	22371275	+	0.61
267439at33208_r2.m1.g1.t1_2_exon	OZ210594.1	22371275	22371380	+	0.36
267439at33208_r2.m1.g1.t1_2_intron	OZ210594.1	22371380	22371641	+	0.36
267439at33208_r2.m1.g1.t1_3_exon	OZ210594.1	22371641	22371791	+	0.58
267439at33208_r2.m1.g1.t1_3_intron	OZ210594.1	22371791	22371929	+	0.58
267439at33208_r2.m1.g1.t1_4_exon	OZ210594.1	22371929	22372082	+	0.02
